Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Hurley McNair*,38,RF,1.1,87,345,316,55,88,17,6,5,58,12,29,0.278,0.339,0.418,0.757,104.0,0.349,103.0,132,0,Left
Wade Johnston*,29,LF,2.2,87,370,334,58,110,12,7,5,57,8,36,0.329,0.395,0.452,0.847,129.0,0.388,131.0,151,0,Left
Tom Young*,24,C,1.0,75,275,260,37,72,14,6,3,51,0,15,0.277,0.316,0.412,0.728,96.0,0.331,93.0,107,0,Left
Dink Mothell#,29,2B,1.3,86,340,304,55,81,14,6,4,48,3,36,0.266,0.344,0.391,0.736,99.0,0.34,100.0,119,0,Both
Newt Joseph,30,3B,2.2,79,312,264,46,72,15,5,5,43,9,48,0.273,0.385,0.424,0.809,119.0,0.376,122.0,112,0,Right
Newt Allen,26,SS,2.6,87,358,329,52,107,18,3,2,35,11,29,0.325,0.38,0.416,0.796,115.0,0.369,118.0,137,0,Right
Lemuel Hawkins*,31,CF,-0.4,79,317,293,47,71,6,6,2,26,8,24,0.242,0.3,0.324,0.624,69.0,0.292,68.0,95,0,Left
Bullet Rogan,33,P,1.7,59,147,124,21,41,4,3,2,22,1,23,0.331,0.435,0.46,0.895,143.0,0.414,147.0,57,0,Right
George Giles*,18,1B,0.1,59,212,197,34,53,8,5,0,20,1,15,0.269,0.321,0.36,0.681,84.0,0.315,84.0,71,0,Left
Grady Orange,27,2B,-0.2,36,111,103,9,23,1,2,0,11,1,8,0.223,0.279,0.272,0.551,50.0,0.261,49.0,28,0,Right
William Bell,29,P,0.6,32,93,88,9,26,2,2,0,11,0,5,0.295,0.333,0.364,0.697,89.0,0.324,88.0,32,0,Right
Frank Duncan,26,C,0.8,20,62,56,10,22,2,3,0,10,0,6,0.393,0.452,0.536,0.987,166.0,0.449,168.0,30,0,Right
George Mitchell,27,P,0.2,26,63,60,10,16,2,0,0,10,0,3,0.267,0.302,0.3,0.602,63.0,0.284,63.0,18,0,Right
