Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Terris McDuffie,21,LF,0.8,65,220,198,37,56,11,2,3,37,18,22,0.283,0.355,0.404,0.759,105.0,0.361,106.0,80,0,Right
Bill Perkins,24,C,1.5,63,230,213,31,67,8,3,5,33,7,17,0.315,0.365,0.451,0.816,119.0,0.373,118.0,96,0,Right
Anthony Cooper,25,SS,-0.5,68,240,233,28,51,3,7,3,26,3,7,0.219,0.242,0.33,0.572,53.0,0.258,50.0,77,0,Right
Jimmie Crutchfield*,20,CF,0.6,67,268,250,41,70,5,9,2,25,6,18,0.28,0.328,0.396,0.724,95.0,0.332,94.0,99,0,Left
Dave Thomas*,25,1B,0.9,43,165,151,26,49,6,3,3,23,4,14,0.325,0.382,0.464,0.845,128.0,0.386,126.0,70,0,Left
Jabbo Andrews*,22,P,1.1,29,114,106,18,41,6,1,3,19,3,8,0.387,0.43,0.547,0.977,163.0,0.441,159.0,58,0,Left
Claude Johnson,36,3B,0.1,21,84,82,13,21,6,0,2,17,3,2,0.256,0.274,0.402,0.676,81.0,0.307,77.0,33,0,Right
Clarence Smith,,IF,0.9,37,123,116,20,40,3,7,0,16,10,7,0.345,0.382,0.491,0.873,135.0,0.403,131.0,57,0,Right
Nat Rogers*,36,RF,0.9,35,132,122,19,41,7,2,3,16,1,10,0.336,0.386,0.5,0.886,138.0,0.401,135.0,61,0,Left
Bob Smith,23,C,-0.1,29,71,67,11,16,2,0,0,14,4,4,0.239,0.282,0.269,0.55,49.0,0.269,53.0,18,0,Right
John Shackelford*,24,2B,0.2,48,168,160,18,45,2,1,1,13,6,8,0.281,0.315,0.325,0.64,73.0,0.302,76.0,52,0,Left
Sam Streeter,29,P,0.6,29,72,69,8,22,2,1,0,12,0,3,0.319,0.347,0.377,0.724,96.0,0.338,97.0,26,0,Right
Nat Trammell*,26,1B,0.3,22,81,74,9,22,2,3,0,11,0,7,0.297,0.358,0.405,0.763,106.0,0.354,106.0,30,0,Left
