Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Valentín Dreke*,29,LF,1.7,61,256,226,38,76,9,3,2,32,7,28,0.336,0.414,0.429,0.843,129,0.392,133,97,2
Cocaína García*,21,P,0.8,46,152,149,16,51,6,2,5,30,3,3,0.342,0.355,0.51,0.865,132,0.388,130,76,0
Rafael Pedroso,22,1B,-1.6,61,231,219,13,42,2,0,2,26,2,12,0.192,0.234,0.228,0.462,26,0.22,23,50,0
Benito Calderón,25,C,0.2,56,218,201,19,51,9,2,0,25,1,17,0.254,0.312,0.318,0.63,71,0.297,72,64,0
Francisco Correa,22,SS,0.2,56,233,223,23,56,8,4,2,25,1,10,0.251,0.283,0.35,0.633,71,0.29,67,78,0
Luis Entenza,23,UT,-0.4,49,194,180,21,43,7,0,0,17,4,14,0.239,0.294,0.278,0.572,56,0.272,56,50,0
Cando López,21,CF,-0.3,40,167,160,19,40,3,1,2,14,0,7,0.25,0.281,0.319,0.6,62,0.279,60,51,0
Rogelio Alonso,21,RF,-0.9,53,183,167,16,33,8,2,0,12,2,16,0.198,0.268,0.269,0.537,46,0.255,45,45,0
Felipe Sierra,25,2B,-0.2,55,228,199,26,42,6,1,0,10,2,29,0.211,0.311,0.251,0.563,54,0.277,59,50,0
Manuel Rigal,26,3B,-0.3,41,154,140,18,30,4,0,0,9,5,13,0.214,0.286,0.243,0.529,44,0.26,47,34,1
David Gómez,25,P,-0.3,27,80,74,7,13,2,0,0,4,0,6,0.176,0.238,0.203,0.44,20,0.216,20,15,0
Basilio Rosell,25,P,0.3,30,68,65,5,18,1,1,0,3,0,3,0.277,0.309,0.323,0.632,71,0.295,70,21,0
Charles Zomphier,21,3B,0.2,3,12,11,1,5,2,0,0,2,0,1,0.455,0.5,0.636,1.136,206,0.512,209,7,0
Heliodoro Díaz,22,P,-0.2,20,53,49,3,7,1,0,0,1,0,4,0.143,0.208,0.163,0.371,2,0.186,0,8,0
