Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
1,Ted Radcliffe,25,C,0.8,65,264,254,29,66,9,3,8,41,2,7,.260,.288,.413,.701,89,.315,85,105,3,*2,
2,Ed Rile*,28,1B,3.0,80,339,299,60,104,22,1,8,63,9,33,.348,.425,.508,.933,154,.426,155,152,7,*3/1,
3,Bingo DeMoss,38,2B,-0.6,40,130,120,14,19,4,1,0,10,0,8,.158,.223,.208,.431,18,.211,19,25,2,4/357,
4,Halley Harding#,23,SS,1.7,45,198,175,38,51,9,3,2,23,6,22,.291,.374,.411,.785,114,.365,116,72,1,6/4,
5,Claude Johnson,34,3B,2.3,75,321,279,55,93,12,1,3,35,3,40,.333,.421,.416,.836,129,.392,134,116,2,*54,
6,Wade Johnston*,30,LF,1.0,74,329,305,60,85,13,5,8,46,6,22,.279,.331,.433,.764,107,.347,105,132,2,*7/8,
7,Turkey Stearnes*,27,CF,4.3,80,349,315,80,101,16,7,24,78,5,29,.321,.387,.644,1.031,177,.450,170,203,5,*8/7,
8,Hurley McNair*,39,RF,0.9,68,275,241,43,66,8,5,3,40,7,34,.274,.364,.386,.750,105,.350,107,93,0,*9,
9,Grady Orange,28,MI,1.2,68,266,249,38,65,8,5,1,27,6,15,.261,.308,.345,.654,78,.303,78,86,2,64/5,
10,Stack Martin,29,UT,0.4,51,172,167,24,51,10,2,1,29,2,5,.305,.326,.407,.733,99,.333,97,68,0,25/79134,
11,Cristóbal Torriente*,34,OF,0.6,37,116,111,14,36,8,3,1,25,2,5,.324,.353,.477,.831,125,.374,122,53,0,19/7,
12,George Mitchell,28,P,0.3,33,66,62,4,14,1,1,1,7,0,4,.226,.273,.323,.595,62,.276,60,20,0,1,
13,Ted Shaw,22,P,0.2,25,59,55,12,11,4,0,0,3,1,4,.200,.254,.273,.527,44,.249,43,15,0,1,
14,Jack Marshall,33,P,0.1,21,55,50,6,10,0,0,0,4,0,4,.200,.273,.200,.473,31,.237,36,10,1,1,
15,Rube Curry,29,P,0.1,18,35,34,2,8,0,0,0,1,0,1,.235,.257,.235,.492,35,.234,34,8,0,1,
16,Albert Davis,,P,-0.1,13,28,26,3,4,0,0,0,2,0,2,.154,.214,.154,.368,2,.186,4,4,0,1,
