Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Roy Parnell,23,LF,5.2,87,360,334,86,141,24,10,11,75,19,25,0.422,0.464,0.653,1.117,199.0,0.503,200.0,218,1,Right
Ruben Jones*,33,RF,0.8,75,275,266,51,81,14,3,5,54,8,9,0.305,0.327,0.436,0.763,105.0,0.347,103.0,116,0,Left
Poindexter Williams,29,C,2.1,76,234,226,27,82,12,8,2,47,3,8,0.363,0.385,0.513,0.898,141.0,0.403,140.0,116,0,Right
George McAllister*,28,1B,1.0,91,380,345,56,100,17,6,1,39,8,34,0.29,0.355,0.383,0.738,100.0,0.343,102.0,132,1,Left
Sandy Thompson*,32,CF,0.6,94,380,346,49,97,15,1,1,36,13,33,0.28,0.345,0.338,0.683,86.0,0.324,88.0,117,1,Left
Geechie Meredith,27,2B,0.3,72,254,239,33,57,4,8,4,32,5,15,0.238,0.283,0.372,0.656,76.0,0.299,73.0,89,0,Right
Clarence Palm,19,C,1.0,54,164,156,22,44,5,3,8,27,2,8,0.282,0.317,0.506,0.823,120.0,0.365,116.0,79,0,Right
J.H. Hamilton,,IF,0.5,56,216,209,23,58,11,2,2,22,3,7,0.278,0.301,0.378,0.679,83.0,0.309,80.0,79,0,Right
Dewitt Owens,26,SS,0.2,67,247,238,25,65,7,0,1,20,3,9,0.273,0.3,0.315,0.615,67.0,0.286,65.0,75,0,Right
Chuffie Alexander,25,MI,-0.1,45,132,127,14,34,3,1,0,13,2,5,0.268,0.295,0.307,0.603,63.0,0.28,62.0,39,0,Right
