Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,IBB,Bats
Herb Souell#,32,3B,1.1,45,194,176,38,57,8,4,1,33,4,10,0.324,0.367,0.432,0.799,133.0,0.371,130.0,76,2,6,0,Both
Johnie Scott*,31,CF,-0.4,49,206,194,29,47,6,4,1,31,6,11,0.242,0.283,0.33,0.613,79.0,0.289,80.0,64,0,1,0,Left
Jackie Robinson,26,SS,2.1,34,137,120,25,45,13,1,4,27,3,16,0.375,0.449,0.6,1.049,205.0,0.476,191.0,72,0,1,0,Right
Lee Moody,28,1B,0.8,45,186,175,26,58,10,0,1,26,1,7,0.331,0.357,0.406,0.763,123.0,0.357,121.0,71,0,4,0,Right
Walter Thomas,33,RF,1.0,48,196,178,27,56,5,4,1,22,4,11,0.315,0.365,0.404,0.769,125.0,0.36,123.0,72,3,4,0,Right
Bill Williams,32,2B,1.8,49,213,190,49,58,10,2,2,15,11,17,0.305,0.368,0.411,0.779,128.0,0.373,127.0,78,2,4,0,Right
Chico Renfroe,22,UT,0.3,39,151,133,19,33,3,2,0,14,1,11,0.248,0.31,0.301,0.611,79.0,0.294,83.0,40,1,6,0,Right
Sammy Haynes,25,C,-0.5,26,80,76,7,15,1,0,0,10,1,3,0.197,0.238,0.211,0.448,32.0,0.218,40.0,16,1,0,0,Right
