Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Valentín Dreke*,26,CF,1.7,46,210,190,32,74,12,0,2,38,6,16,0.389,0.448,0.484,0.932,155.0,0.438,154.0,92,4,Left
Esteban Montalvo*,28,RF,1.3,45,201,176,34,57,10,5,7,37,3,20,0.324,0.408,0.557,0.965,162.0,0.438,154.0,98,5,Left
Marcelino Guerra,34,LF,0.1,41,185,169,33,44,6,5,2,33,3,15,0.26,0.324,0.391,0.715,95.0,0.334,92.0,66,1,Right
José Pérez,25,1B,1.0,41,165,141,23,40,5,1,2,25,1,18,0.284,0.388,0.376,0.764,109.0,0.371,114.0,53,6,Right
Recurvon Terán,29,3B,-0.4,45,189,175,31,42,5,5,2,23,4,13,0.24,0.296,0.36,0.656,79.0,0.308,76.0,63,1,Right
Felipe Sierra,22,2B,0.9,46,216,174,34,44,7,4,2,23,5,38,0.253,0.398,0.374,0.772,112.0,0.376,118.0,65,4,Right
Ángel Alfonso,23,SS,1.5,46,207,175,36,46,5,6,2,20,5,29,0.263,0.377,0.394,0.771,111.0,0.369,113.0,69,3,Right
Eufemio Abreu,23,C,0.2,43,168,155,21,41,9,2,1,17,2,13,0.265,0.321,0.368,0.689,88.0,0.325,87.0,57,0,Right
