Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Turkey Stearnes*,26,CF,5.2,91,387,340,79,119,25,12,19,114,13,46,0.35,0.429,0.662,1.091,191.0,0.48,188.0,225,1,Left
Cristóbal Torriente*,33,RF,2.0,88,364,323,45,101,17,2,6,62,5,41,0.313,0.39,0.433,0.824,123.0,0.38,126.0,140,0,Left
Ed Rile*,27,1B,3.7,75,289,265,53,103,23,8,11,58,3,24,0.389,0.439,0.66,1.1,194.0,0.485,193.0,175,0,Left
Stack Martin,28,1B,0.5,56,209,199,30,51,9,4,8,37,6,10,0.256,0.292,0.462,0.754,101.0,0.339,97.0,92,0,Right
Harry Jeffries,,3B,0.2,71,266,250,34,64,11,3,1,31,2,16,0.256,0.301,0.336,0.637,72.0,0.295,71.0,84,0,Right
Pepper Daniels,24,C,0.8,80,311,284,36,75,12,1,4,30,3,27,0.264,0.328,0.356,0.684,85.0,0.319,86.0,101,0,Right
Claude Johnson,33,2B,1.7,87,354,309,64,87,8,0,5,29,9,45,0.282,0.373,0.356,0.729,98.0,0.346,104.0,110,0,Right
Halley Harding#,22,SS,0.7,87,370,341,57,91,12,3,1,23,10,29,0.267,0.324,0.328,0.653,77.0,0.308,78.0,112,0,Both
Johnny Jones,27,LF,0.9,32,149,131,32,44,7,1,1,18,2,18,0.336,0.416,0.427,0.844,129.0,0.392,134.0,56,0,Right
Bingo DeMoss,37,2B,-0.4,40,150,144,23,33,5,3,0,14,0,6,0.229,0.26,0.306,0.566,53.0,0.261,48.0,44,0,Right
Harry Kenyon,33,P,0.3,24,77,71,13,24,3,2,0,11,2,6,0.338,0.39,0.437,0.826,123.0,0.38,125.0,31,0,Right
