Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Bats
David Whatley*,22,RF,1.0,27,118,112,25,40,7,7,5,31,3,3,0.357,0.385,0.679,1.063,189.0,0.46,172.0,76,2,1,Left
Parnell Woods,25,3B,0.5,27,123,109,27,33,4,4,3,21,2,11,0.303,0.372,0.495,0.867,138.0,0.389,132.0,54,1,2,Right
Melzar Williams,23,LF,-0.1,19,83,78,16,22,2,1,1,16,5,5,0.282,0.325,0.372,0.697,92.0,0.329,93.0,29,0,0,Right
Sylvester Owens,,UT,-0.3,28,117,109,12,25,2,3,0,14,2,4,0.229,0.263,0.303,0.566,56.0,0.261,57.0,33,1,3,Right
Johnny Ray*,25,CF,0.9,16,71,60,14,27,0,2,0,10,2,8,0.45,0.529,0.517,1.045,190.0,0.485,190.0,31,2,1,Left
