Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH
John Miles,25,OF,0.2,9,38,32,6,8,2,2,2,9,0,5,0.25,0.368,0.625,0.993,162.0,0.429,143.0,20,1,0
Jim Pendleton,24,SS,0.4,13,58,53,9,17,2,1,1,8,1,3,0.321,0.368,0.453,0.821,119.0,0.378,116.0,24,1,1
Sam Hill*,22,CF,0.3,12,55,50,13,18,4,0,0,7,0,4,0.36,0.418,0.44,0.858,130.0,0.409,132.0,22,1,0
Clyde McNeal,19,2B,0.3,13,54,46,11,13,2,2,1,6,0,6,0.283,0.377,0.478,0.856,128.0,0.394,124.0,22,1,1
Quincy Trouppe#,35,C,0.6,8,35,30,5,12,4,0,0,6,0,5,0.4,0.486,0.533,1.019,172.0,0.478,171.0,16,0,0
Bienvenido Rodríguez,21,RF,-0.1,12,39,33,4,8,2,0,1,6,0,4,0.242,0.359,0.394,0.753,101.0,0.36,104.0,13,2,0
Jim McCurine*,27,OF,0.0,5,13,11,2,3,0,0,1,5,0,2,0.273,0.385,0.545,0.93,147.0,0.416,136.0,6,0,0
Hank Baylis,25,3B,0.3,9,38,35,3,15,1,0,0,3,0,2,0.429,0.474,0.457,0.931,150.0,0.448,154.0,16,1,0
Marlin Carter*,35,UT,-0.3,10,39,35,4,8,0,0,0,3,0,4,0.229,0.308,0.229,0.536,45.0,0.276,56.0,8,0,0
Alphonso Gerard*,31,LF,-0.2,7,26,25,3,8,0,0,0,2,1,0,0.32,0.32,0.32,0.64,72.0,0.305,72.0,8,0,1
John Williams,26,1B,-0.5,11,39,37,2,5,1,1,0,1,0,1,0.135,0.158,0.216,0.374,-1.0,0.172,-5.0,8,0,1
Earl Bumpus*,34,1B,-0.1,5,17,14,2,1,0,0,0,1,0,3,0.071,0.235,0.071,0.307,-15.0,0.193,10.0,1,0,0
Freddie Shepard*,32,P,0.0,1,1,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-107.0,0,0,0
Clarence Locke,37,P,0.0,4,6,6,1,1,1,0,0,1,0,0,0.167,0.167,0.333,0.5,32.0,0.216,22.0,2,0,0
Harry Rhodes*,25,P,0.1,6,11,11,2,3,2,0,0,1,1,0,0.273,0.273,0.455,0.727,92.0,0.329,83.0,5,0,0
Riley Stewart*,29,P,0.0,5,13,12,1,2,0,0,0,0,0,1,0.167,0.231,0.167,0.397,8.0,0.207,17.0,2,0,0
Henderson,,OF,-0.1,1,4,4,0,1,0,0,0,0,1,0,0.25,0.25,0.25,0.5,34.0,0.256,35.0,1,0,0
Jake Tolbert,,C,-0.1,5,11,10,1,1,0,0,0,0,0,1,0.1,0.182,0.1,0.282,-23.0,0.158,-11.0,1,0,0
Gentry Jessup,33,P,0.1,4,12,11,2,3,1,0,0,0,0,1,0.273,0.333,0.364,0.697,86.0,0.332,88.0,4,0,0
Roberto Vargas*,19,P,0.0,3,7,7,1,2,0,0,0,0,0,0,0.286,0.286,0.286,0.571,53.0,0.273,55.0,2,0,0
Rafaelito Ortiz,33,P,-0.1,1,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-200.0,0,0,1
Gardner,,P,0.1,1,2,1,0,1,0,0,0,0,0,1,1.0,1.0,1.0,2.0,436.0,0.867,390.0,1,0,0
Taylor Smith,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
