Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Turkey Stearnes*,26,CF,5.2,91,387,340,79,119,25,12,19,114,13,46,0.35,0.429,0.662,1.091,191.0,0.48,188.0,225,1
Cristóbal Torriente*,33,RF,2.0,88,364,323,45,101,17,2,6,62,5,41,0.313,0.39,0.433,0.824,123.0,0.38,126.0,140,0
Ed Rile*,27,1B,3.7,75,289,265,53,103,23,8,11,58,3,24,0.389,0.439,0.66,1.1,194.0,0.485,193.0,175,0
Stack Martin,28,1B,0.5,56,209,199,30,51,9,4,8,37,6,10,0.256,0.292,0.462,0.754,101.0,0.339,97.0,92,0
Harry Jeffries,,3B,0.2,71,266,250,34,64,11,3,1,31,2,16,0.256,0.301,0.336,0.637,72.0,0.295,71.0,84,0
Pepper Daniels,24,C,0.8,80,311,284,36,75,12,1,4,30,3,27,0.264,0.328,0.356,0.684,85.0,0.319,86.0,101,0
Claude Johnson,33,2B,1.7,87,354,309,64,87,8,0,5,29,9,45,0.282,0.373,0.356,0.729,98.0,0.346,104.0,110,0
Halley Harding#,22,SS,0.7,87,370,341,57,91,12,3,1,23,10,29,0.267,0.324,0.328,0.653,77.0,0.308,78.0,112,0
Johnny Jones,27,LF,0.9,32,149,131,32,44,7,1,1,18,2,18,0.336,0.416,0.427,0.844,129.0,0.392,134.0,56,0
Bingo DeMoss,37,2B,-0.4,40,150,144,23,33,5,3,0,14,0,6,0.229,0.26,0.306,0.566,53.0,0.261,48.0,44,0
Harry Kenyon,33,P,0.3,24,77,71,13,24,3,2,0,11,2,6,0.338,0.39,0.437,0.826,123.0,0.38,125.0,31,0
Yellow Horse Morris,25,P,-0.1,28,69,67,6,12,2,0,1,7,0,2,0.179,0.203,0.254,0.457,23.0,0.211,16.0,17,0
Lewis Hampton,26,P,0.4,12,27,26,6,7,1,1,2,6,0,1,0.269,0.296,0.615,0.912,141.0,0.395,134.0,16,0
Clarence Everett,,SS,-0.6,28,94,88,5,13,1,2,0,5,0,5,0.148,0.202,0.205,0.407,10.0,0.195,6.0,18,1
Albert Davis,,P,0.3,13,34,32,2,10,0,1,0,5,0,1,0.313,0.353,0.375,0.728,97.0,0.339,98.0,12,1
Bill Drake,32,P,-0.1,16,45,43,3,7,0,1,0,4,0,1,0.163,0.2,0.209,0.409,11.0,0.194,6.0,9,1
William Ross,33,P,0.4,14,31,28,5,10,1,0,1,4,0,2,0.357,0.419,0.5,0.919,148.0,0.422,151.0,14,1
Edgar Wesley*,36,1B,-0.2,6,21,21,2,3,0,0,1,2,1,0,0.143,0.143,0.286,0.429,13.0,0.193,2.0,6,0
Andy Cooper,30,P,-0.1,13,28,28,3,5,0,0,0,2,0,0,0.179,0.179,0.179,0.357,-3.0,0.166,-12.0,5,0
N. Stevens,,C,0.0,4,16,15,1,4,0,0,0,1,0,1,0.267,0.313,0.267,0.579,58.0,0.279,60.0,4,0
Fred Bell*,25,P,0.0,2,4,3,1,0,0,0,0,0,0,1,0.0,0.25,0.0,0.25,-27.0,0.184,0.0,0,0
Edward Chapman,,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-108.0,0,0
