Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Willie Bobo*,26,1B,1.9,70,298,268,56,85,16,3,6,57,6,25,0.317,0.386,0.466,0.852,132.0,0.396,129.0,125,5,Left
Branch Russell*,28,RF,2.1,69,303,272,56,83,20,4,7,44,12,27,0.305,0.376,0.485,0.862,135.0,0.401,130.0,132,4,Left
Willie Wells,19,SS,2.2,45,184,170,29,51,12,4,1,37,2,12,0.3,0.353,0.435,0.789,115.0,0.366,111.0,74,2,Right
Mitchell Murray,28,C,1.6,48,168,150,28,50,8,0,6,35,4,18,0.333,0.405,0.507,0.911,148.0,0.421,144.0,76,0,Right
Cool Papa Bell#,21,CF,1.4,65,262,242,52,73,12,3,1,33,12,20,0.302,0.355,0.388,0.743,103.0,0.356,103.0,94,0,Both
Charlie Blackwell*,29,LF,-0.2,48,185,159,33,40,5,2,4,24,2,17,0.252,0.357,0.384,0.74,102.0,0.354,105.0,61,9,Left
Dewey Creacy,24,3B,0.0,55,194,181,24,46,5,7,1,24,3,12,0.254,0.304,0.376,0.68,85.0,0.316,82.0,68,1,Right
Robert Mitchell,24,C,0.5,39,114,100,20,29,4,2,2,17,9,13,0.29,0.377,0.43,0.807,120.0,0.389,119.0,43,1,Right
Candy Jim Taylor,40,3B,0.8,40,125,110,16,41,9,1,1,16,8,14,0.373,0.448,0.5,0.948,159.0,0.452,157.0,55,1,Right
Charlie Watts,,2B,-0.4,51,179,166,16,36,6,1,1,15,1,9,0.217,0.274,0.283,0.557,52.0,0.269,54.0,47,4,Right
John Reese,29,OF,-0.9,51,167,158,17,35,2,2,1,14,9,9,0.222,0.263,0.278,0.542,48.0,0.266,48.0,44,0,Right
Wilson Redus,19,OF,0.0,11,47,44,11,12,2,2,0,12,0,3,0.273,0.319,0.409,0.728,98.0,0.338,94.0,18,0,Right
