Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH
Bernell Longest*,28,2B,0.4,29,134,125,18,40,5,2,0,19,3,6,0.32,0.366,0.392,0.758,103.0,0.361,103.0,49,3,0
Earl Bumpus*,33,UT,0.0,24,78,66,8,14,2,0,1,15,0,10,0.212,0.325,0.288,0.613,64.0,0.31,72.0,19,1,1
Lyman Bostock*,29,1B,0.4,22,90,81,10,27,4,1,0,14,0,8,0.333,0.393,0.407,0.801,114.0,0.386,115.0,33,0,1
John Ritchey*,24,C,0.9,21,87,71,18,23,4,1,0,12,3,14,0.324,0.442,0.408,0.85,128.0,0.417,134.0,29,1,1
Sam Hill*,21,LF,0.0,29,130,115,25,33,6,0,2,12,3,9,0.287,0.354,0.391,0.746,99.0,0.356,99.0,45,3,3
John Miles,24,3B,-0.1,23,92,82,13,19,4,0,2,9,0,9,0.232,0.308,0.354,0.661,77.0,0.317,76.0,29,0,1
Clyde McNeal,18,SS,-0.1,24,101,95,13,23,2,2,0,8,1,6,0.242,0.287,0.305,0.592,59.0,0.284,59.0,29,0,0
Buddy Armour*,32,CF,0.2,24,107,100,16,30,5,1,0,6,0,7,0.3,0.346,0.37,0.716,92.0,0.344,92.0,37,0,0
Jim McCurine*,26,RF,-0.4,21,82,74,3,13,3,1,0,6,0,7,0.176,0.247,0.243,0.49,31.0,0.244,34.0,18,0,1
John Bissant,33,OF,0.2,16,39,33,6,14,1,0,0,5,2,5,0.424,0.5,0.455,0.955,156.0,0.466,163.0,15,0,1
Ed Young,34,C,-0.1,4,19,16,3,4,1,1,0,5,1,3,0.25,0.368,0.438,0.806,115.0,0.384,112.0,7,0,0
Gentry Jessup,32,P,-0.1,9,19,19,1,4,2,0,0,3,0,0,0.211,0.211,0.316,0.526,40.0,0.24,33.0,6,0,0
Jesse Warren,32,MI,0.0,9,27,27,3,9,2,0,0,2,0,0,0.333,0.333,0.407,0.741,98.0,0.348,93.0,11,0,0
Harry Rhodes*,24,UT,-0.1,10,19,18,3,3,0,0,0,2,0,0,0.167,0.167,0.167,0.333,-11.0,0.161,-19.0,3,0,1
Tom Turner,32,1B,-0.3,5,19,16,0,1,0,0,0,1,0,0,0.063,0.118,0.063,0.18,-51.0,0.105,-61.0,1,1,2
Bob Palm,31,C,-0.1,2,7,6,1,0,0,0,0,0,0,1,0.0,0.143,0.0,0.143,-60.0,0.112,-40.0,0,0,0
Jacob Robinson,27,UT,-0.1,3,7,6,0,1,0,0,0,0,0,1,0.167,0.286,0.167,0.452,22.0,0.25,39.0,1,0,0
Sy Morton,25,SS,-0.1,1,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0,0,0
Jake Tolbert,,C,0.0,10,26,21,1,3,0,0,0,0,0,5,0.143,0.308,0.143,0.451,22.0,0.262,45.0,3,0,0
Harold Millon,28,2B,0.1,2,2,1,0,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0,436.0,0.965,787.0,1,0,1
Willie Wynn,29,C,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-107.0,0,0,0
Berry,,C,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-107.0,0,0,0
Riley Stewart*,28,P,0.2,13,23,21,4,6,0,1,0,0,0,2,0.286,0.348,0.381,0.729,95.0,0.349,94.0,8,0,0
Leonard Johnson,27,P,-0.1,10,17,14,1,1,0,0,0,0,0,1,0.071,0.188,0.071,0.259,-29.0,0.16,-20.0,1,1,1
Clarence Locke,36,P,0.0,6,12,11,1,3,0,0,0,0,0,1,0.273,0.333,0.273,0.606,63.0,0.306,70.0,3,0,0
Walter McCoy,27,P,-0.2,6,11,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-103.0,0,0,0
Steve Wylie,36,P,0.1,2,1,1,0,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0,436.0,0.965,447.0,1,0,0
