Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB
Turkey Stearnes*,24,CF,5.3,94,412,367,93,136,24,14,19,126,11,45,0.371,0.439,0.668,1.107,193,0.479,183,245
Clarence Smith,,RF,2.6,92,399,381,84,131,25,10,5,82,19,18,0.344,0.373,0.501,0.875,133,0.395,129,191
Edgar Wesley*,34,1B,3.8,60,256,228,58,92,12,4,17,73,10,28,0.404,0.469,0.715,1.184,213,0.513,202,163
Bill Riggins#,25,SS,2.0,94,395,363,63,97,16,9,8,69,26,32,0.267,0.327,0.427,0.754,101,0.346,99,155
Anderson Pryor,24,2B,2.6,90,375,326,67,93,22,5,6,47,20,49,0.285,0.379,0.439,0.817,119,0.379,119,143
Ray Sheppard,22,3B,1.5,52,194,183,43,62,6,3,5,35,5,11,0.339,0.376,0.486,0.863,130,0.386,127,89
Harry Kenyon,31,P,0.1,65,224,212,33,60,7,2,4,33,8,12,0.283,0.321,0.392,0.713,91,0.326,90,83
Johnny Jones,25,LF,0.7,80,324,294,68,80,12,7,3,30,8,30,0.272,0.34,0.391,0.731,96,0.335,96,115
Pepper Daniels,22,C,-0.1,71,250,232,27,52,7,2,4,27,8,18,0.224,0.28,0.323,0.603,62,0.281,62,75
Fred Bell*,23,P,0.9,40,109,97,16,26,3,3,3,23,6,12,0.268,0.349,0.454,0.802,114,0.366,112,44
Dan Kennard,41,C,-0.1,41,111,104,12,23,2,1,3,20,1,7,0.221,0.27,0.346,0.616,64,0.279,63,36
Lewis Hampton,24,P,0.5,28,83,74,14,18,2,3,3,15,1,9,0.243,0.325,0.473,0.798,112,0.352,107,35
Joe Hewitt*,39,3B,-0.3,36,149,123,23,19,5,1,0,6,4,26,0.154,0.302,0.211,0.513,40,0.265,54,26
Andy Cooper,28,P,0.4,32,58,54,6,13,0,3,1,5,0,4,0.241,0.293,0.407,0.701,86,0.313,83,22
Yellow Horse Morris,23,P,0.2,21,32,31,4,8,1,0,1,4,0,1,0.258,0.281,0.387,0.668,78,0.3,75,12
Omer Newsome,25,P,0.1,17,24,23,2,5,0,1,0,3,0,1,0.217,0.25,0.304,0.554,48,0.253,46,7
Slim Branham,25,P,0.2,14,23,23,3,7,0,1,1,2,0,0,0.304,0.304,0.522,0.826,118,0.358,110,12
Bruce Petway#,39,UT,-0.3,19,44,39,5,6,1,0,0,1,1,5,0.154,0.25,0.179,0.429,17,0.219,27,7
Jack Combs,,P,-0.3,22,37,36,0,4,0,0,0,1,0,1,0.111,0.135,0.111,0.246,-33,0.12,-32,4
George McAllister*,26,1B,-0.2,7,30,27,4,5,0,0,0,1,0,3,0.185,0.267,0.185,0.452,24,0.229,32,5
Sherman Davis,,3B,-0.2,7,19,19,0,3,0,0,0,1,0,0,0.158,0.158,0.158,0.316,-15,0.147,-17,3
Jim Smith,,2B,0.1,3,5,5,1,2,0,1,0,0,0,0,0.4,0.4,0.8,1.2,214,0.507,199,4
Chick Harper,,,-0.1,1,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-105,0
Lawrence Terrell,19,P,-0.1,14,21,21,1,3,1,0,0,0,0,0,0.143,0.143,0.19,0.333,-11,0.15,-15,4
Buck Alexander,,P,-0.1,6,12,11,1,0,0,0,0,0,0,1,0.0,0.083,0.0,0.083,-76,0.062,-67,0
