Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Bats
Willard Brown,26,CF,1.9,38,161,144,31,49,7,4,6,32,10,16,0.34,0.41,0.569,0.979,193.0,0.462,183.0,82,0,1,0,1,Right
Ted Strong#,24,RF,2.5,35,151,112,29,39,5,3,6,27,2,27,0.348,0.507,0.607,1.114,234.0,0.513,224.0,68,0,9,3,1,Both
