Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos.1,Awards
1,Red Longley,37,C,0.2,15,56,45,2,12,2,0,1,7,1,10,.267,.400,.378,.778,109,.381,114,17,0,1,2/8,
2,Bob Boyd*,27,1B,-0.2,21,96,88,14,23,3,0,1,10,4,6,.261,.323,.330,.652,75,.320,77,29,2,0,3,AS
3,George Handy*,27,2B,0.2,16,67,60,7,16,0,2,0,10,0,3,.267,.302,.333,.635,70,.304,66,20,0,4,4/5,
4,Willie Wells,24,SS,-0.3,19,69,63,12,11,3,0,0,8,2,6,.175,.246,.222,.469,26,.238,31,14,0,0,6,
5,Marlin Carter*,34,3B,0.0,15,67,55,11,12,4,0,1,7,1,11,.218,.348,.345,.694,86,.340,91,19,0,1,5/6,
6,Neil Robinson,39,LF,0.1,14,51,42,7,9,3,0,0,4,2,7,.214,.340,.286,.626,68,.323,78,12,1,1,7/9,
7,José Colás,23,CF,0.3,18,80,73,15,21,5,2,0,14,2,5,.288,.342,.411,.753,101,.354,98,30,1,1,8/5,"AS,AS"
8,Pedro Formental*,32,RF,0.4,15,67,50,8,14,2,0,2,12,0,15,.280,.446,.440,.886,137,.431,142,22,0,2,9/7,
9,Fred Bankhead,34,IF,0.2,14,67,51,9,13,1,0,0,7,1,12,.255,.424,.275,.699,89,.371,109,14,3,1,/456,
10,Joe Burt Scott*,26,OF,0.7,12,50,35,11,14,1,0,0,4,1,12,.400,.580,.429,1.009,172,.509,188,15,3,0,/798,
11,Cowan Hyde,40,UT,-0.3,10,46,45,2,12,1,0,0,4,2,1,.267,.283,.289,.571,53,.279,53,13,0,0,/9782,
12,Casey Jones*,28,C,0.2,11,33,31,3,10,3,0,0,7,1,2,.323,.364,.419,.783,109,.371,107,13,0,0,2,
13,T.J. Brown,31,IF,-0.1,5,11,10,1,2,0,0,0,0,0,0,.200,.200,.200,.400,7,.193,-3,2,0,1,/65,
14,Larry Brown#,45,C,0.0,1,1,1,1,0,0,0,0,1,0,0,.000,.000,.000,.000,-100,.000,-107,0,0,0,/2,
15,Dan Bankhead,27,P,-0.2,6,17,15,1,0,0,0,0,0,1,2,.000,.118,.000,.118,-67,.097,-52,0,0,0,/1,AS
16,Pepper Sharpe#,28,P,0.2,9,16,11,7,4,0,0,0,2,0,3,.364,.500,.364,.864,133,.443,155,4,0,2,/1,
17,Felix Evans,36,P,-0.1,3,10,8,2,0,0,0,0,0,0,2,.000,.200,.000,.200,-44,.157,-15,0,0,0,/1,
18,John Huber*,39,P,-0.2,5,9,9,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-103,0,0,0,/1,
19,Ladd White*,29,P,0.0,2,9,8,0,2,0,0,0,2,0,0,.250,.250,.250,.500,34,.241,25,2,0,1,/1,
20,Verdell Mathis*,33,P,0.1,3,8,8,2,3,0,0,0,1,0,0,.375,.375,.375,.750,101,.362,102,3,0,0,/1,
21,Laymon Ramsey,29,P,-0.1,3,7,7,1,1,0,0,0,0,0,0,.143,.143,.143,.286,-23,.138,-25,1,0,0,/1,
22,Frank Pearson,27,P,-0.1,2,6,6,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-104,0,0,0,/1,
23,Herman Purcell#,23,P,0.0,2,3,3,0,1,0,0,0,0,0,0,.333,.333,.333,.667,79,.322,78,1,0,0,/1,
24,Spoon Carter*,44,P,0.0,1,3,3,1,1,0,0,0,0,0,0,.333,.333,.333,.667,79,.322,78,1,0,0,/1,AS
25,James Wilson,,P,0.0,2,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-107,0,0,0,/17,
