Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Bats
Ed Steele*,31,RF,0.4,14,60,49,12,18,4,0,0,12,0,10,0.367,0.483,0.449,0.932,150.0,0.457,155.0,22,1,0,Left
Piper Davis,29,2B,0.6,14,63,58,15,21,3,3,1,11,1,5,0.362,0.413,0.569,0.982,161.0,0.446,151.0,33,0,0,Right
