Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Bats
Willard Brown,26,CF,1.9,38,161,144,31,49,7,4,6,32,10,16,0.34,0.41,0.569,0.979,193.0,0.462,183.0,82,0,1,0,1,Right
Ted Strong#,24,RF,2.5,35,151,112,29,39,5,3,6,27,2,27,0.348,0.507,0.607,1.114,234.0,0.513,224.0,68,0,9,3,1,Both
Joe Greene,29,C,0.9,30,106,94,14,26,4,6,0,22,0,11,0.277,0.352,0.447,0.799,140.0,0.372,132.0,42,1,0,1,1,Right
Bill Williams,28,SS,0.9,36,137,119,19,30,4,3,0,18,2,13,0.252,0.341,0.336,0.677,104.0,0.329,106.0,40,0,3,2,0,Right
Rainey Bibbs#,30,2B,-0.1,38,161,145,16,33,5,0,0,17,2,9,0.228,0.282,0.262,0.544,64.0,0.267,66.0,38,0,2,5,0,Both
Willie Simms*,32,LF,-0.7,37,158,136,21,25,2,2,0,12,8,20,0.184,0.293,0.228,0.521,57.0,0.274,66.0,31,0,1,1,0,Left
Buck O'Neil,29,1B,-0.3,37,161,149,20,32,3,3,0,11,5,7,0.215,0.25,0.275,0.525,58.0,0.256,56.0,41,0,0,5,0,Right
Newt Allen,40,3B,0.5,35,148,131,24,33,5,1,0,10,4,13,0.252,0.319,0.305,0.625,88.0,0.306,90.0,40,0,0,4,0,Right
Hilton Smith,34,P,0.6,15,39,36,6,12,5,0,0,8,0,3,0.333,0.385,0.472,0.857,157.0,0.404,152.0,17,0,0,0,0,Right
Frank Duncan,40,C,0.3,13,41,36,3,9,0,1,0,4,1,4,0.25,0.325,0.306,0.631,90.0,0.308,92.0,11,0,0,1,0,Right
Satchel Paige,34,P,0.2,12,29,27,2,6,0,0,0,3,0,1,0.222,0.276,0.222,0.498,50.0,0.25,55.0,6,0,1,0,0,Right
Ford Smith#,22,P,0.2,7,13,13,1,5,2,0,0,3,0,0,0.385,0.385,0.538,0.923,177.0,0.431,169.0,7,0,0,0,0,Both
Tom Young*,38,C,-0.2,5,17,13,1,1,0,0,0,2,0,2,0.077,0.25,0.077,0.327,0.0,0.201,20.0,1,0,1,1,0,Left
Herb Souell#,28,3B,0.0,3,8,8,2,2,1,0,0,2,0,0,0.25,0.25,0.375,0.625,87.0,0.291,81.0,3,0,0,0,0,Both
Sylvester Snead,26,OF,0.3,9,35,29,2,6,3,1,0,2,1,4,0.207,0.324,0.379,0.703,111.0,0.342,111.0,11,0,1,1,0,Right
Frank Duncan,21,1B,-0.1,1,4,3,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-166.0,0,0,0,1,0,Right
Frank Bradley,23,P,-0.1,11,22,21,3,3,0,0,0,0,0,0,0.143,0.143,0.143,0.286,-14.0,0.137,-20.0,3,0,0,1,0,Right
Allen Bryant*,23,P,-0.2,5,12,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-118.0,0,0,0,1,0,Left
George Walker,26,P,0.0,6,12,11,0,1,0,0,0,0,0,1,0.091,0.167,0.091,0.258,-22.0,0.141,-12.0,1,0,0,0,0,Right
Connie Johnson,18,P,0.0,7,7,7,1,1,0,0,0,0,0,0,0.143,0.143,0.143,0.286,-14.0,0.137,-16.0,1,0,0,0,0,Right
Booker McDaniel,27,P,0.0,3,6,5,1,0,0,0,0,0,0,1,0.0,0.167,0.0,0.167,-49.0,0.124,-23.0,0,0,0,0,0,Right
Chet Brewer#,34,P,-0.1,2,5,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-100.0,0,0,0,0,0,Both
Clarence Brown,,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-92.0,0,0,0,0,0,Right
