Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,Bats
Jesse Douglas*,28,SS,1.1,20,85,75,10,30,5,4,0,12,2,9,0.4,0.464,0.573,1.038,218.0,0.486,207.0,43,0,0,1,Left
Art Pennington#,21,2B,0.4,16,63,57,13,19,2,0,2,10,2,6,0.333,0.397,0.474,0.871,167.0,0.417,162.0,27,0,0,0,Both
