Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Bats
Mule Suttles,24,1B,2.1,68,272,242,45,80,6,5,10,59,5,30,0.331,0.404,0.521,0.925,147.0,0.412,143.0,126,Right
Poindexter Williams,27,C,2.1,69,257,242,28,81,14,7,6,49,4,15,0.335,0.374,0.525,0.898,139.0,0.397,134.0,127,Right
Charlie Blackwell*,30,LF,1.6,65,292,260,62,79,10,4,8,44,10,32,0.304,0.38,0.465,0.846,126.0,0.383,125.0,121,Left
