Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Bats
Bobby Robinson#,35,CF,-0.1,29,123,111,15,29,2,3,0,21,5,9,0.261,0.322,0.333,0.656,76.0,0.317,78.0,37,1,2,Both
John Britton*,29,3B,-0.6,29,134,128,18,31,6,1,0,20,1,3,0.242,0.265,0.305,0.57,52.0,0.267,51.0,39,1,2,Left
Ed Steele*,32,RF,1.2,29,123,98,27,35,6,2,3,18,7,20,0.357,0.488,0.551,1.039,178.0,0.485,173.0,54,5,0,Left
Piper Davis,30,2B,1.7,28,117,107,25,42,8,2,1,17,6,7,0.393,0.444,0.533,0.977,161.0,0.455,157.0,57,3,0,Right
Artie Wilson*,27,SS,2.0,29,136,120,31,52,7,6,0,17,6,15,0.433,0.5,0.592,1.092,191.0,0.501,185.0,71,1,0,Left
Joe Scott*,30,1B,0.4,25,104,87,14,23,4,2,3,16,1,13,0.264,0.379,0.46,0.838,124.0,0.388,121.0,40,3,1,Left
Jim Zapp,24,LF,0.5,18,63,57,13,16,5,0,2,11,0,5,0.281,0.349,0.474,0.823,119.0,0.376,113.0,27,1,0,Right
