Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Bob Miller,,SS,1.3,76,289,258,34,70,15,6,0,35,5,31,0.271,0.349,0.376,0.725,96.0,0.338,98.0,97,0,Right
Pinky Ward,,CF,0.2,72,290,254,29,59,10,5,1,29,10,35,0.232,0.328,0.323,0.65,77.0,0.312,80.0,82,1,Right
Saul Davis,26,RF,-1.4,87,323,319,31,68,10,3,4,26,8,4,0.213,0.223,0.301,0.524,41.0,0.239,33.0,96,0,Right
Nat Rogers*,33,LF,0.5,52,203,191,28,55,7,4,3,26,3,12,0.288,0.33,0.414,0.744,100.0,0.339,99.0,79,0,Left
J.C. McHaskell,24,1B,-2.0,83,329,310,26,62,9,3,1,19,4,19,0.2,0.246,0.258,0.504,37.0,0.237,34.0,80,0,Right
Bobby Robinson,23,3B,0.1,64,244,222,22,56,5,1,0,15,4,22,0.252,0.32,0.284,0.603,65.0,0.289,67.0,63,0,Right
Perry Hall,29,UT,0.8,20,71,69,7,28,7,0,1,14,0,2,0.406,0.423,0.551,0.973,162.0,0.441,164.0,38,0,Right
Larry Brown#,25,C,0.1,66,190,170,19,41,5,2,0,14,3,20,0.241,0.321,0.294,0.615,68.0,0.294,71.0,50,0,Both
Cliff Bell,30,P,-0.4,37,90,87,4,14,3,1,0,13,2,3,0.161,0.189,0.218,0.407,10.0,0.192,3.0,19,0,Right
Kid Lowe,26,IF,0.2,42,127,120,12,33,2,2,1,10,2,7,0.275,0.315,0.35,0.665,80.0,0.307,79.0,42,0,Right
