Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Pythias Russ,24,SS,2.7,70,288,274,54,93,13,3,2,48,9,9,0.339,0.372,0.431,0.802,118.0,0.369,119.0,118,5
Charley Williams,31,2B,0.2,65,252,235,26,60,10,6,0,36,4,15,0.255,0.306,0.349,0.654,78.0,0.302,77.0,82,2
John Hines,27,C,1.3,67,221,203,35,58,9,3,2,34,6,12,0.286,0.344,0.389,0.733,100.0,0.34,101.0,79,6
Steel Arm Davis*,32,RF,1.0,59,242,226,38,72,12,5,2,31,7,13,0.319,0.364,0.442,0.806,119.0,0.369,118.0,100,3
Sandy Thompson*,33,LF,0.4,43,179,166,25,55,1,1,0,27,4,11,0.331,0.38,0.349,0.729,100.0,0.344,104.0,58,2
Lemuel Hawkins*,32,1B,-0.2,38,153,143,14,36,4,0,0,16,5,10,0.252,0.301,0.28,0.58,59.0,0.278,61.0,40,0
Dave Malarcher#,33,3B,0.2,33,116,106,11,28,3,0,0,16,4,9,0.264,0.328,0.292,0.62,70.0,0.299,74.0,31,1
Sanford Jackson,28,UT,0.9,54,235,219,32,60,4,4,0,16,5,13,0.274,0.323,0.329,0.652,78.0,0.306,80.0,72,3
Ruben Jones*,34,OF,0.1,37,126,120,17,36,4,2,0,15,4,3,0.3,0.333,0.367,0.7,91.0,0.326,91.0,44,3
Mitchell Murray,32,C,0.6,24,78,70,13,20,4,2,0,14,2,7,0.286,0.359,0.4,0.759,107.0,0.352,108.0,28,1
Jim Brown#,36,1B,-0.4,37,129,125,16,33,3,0,0,12,3,3,0.264,0.287,0.288,0.575,57.0,0.269,56.0,36,1
Jelly Gardner*,32,CF,1.2,50,213,184,37,51,3,0,0,10,19,27,0.277,0.376,0.293,0.669,85.0,0.339,94.0,54,2
Nat Rogers*,34,OF,-0.7,25,86,83,5,18,2,0,0,10,2,3,0.217,0.244,0.241,0.485,33.0,0.229,31.0,20,0
Bill Foster#,24,P,0.2,29,80,77,9,17,3,0,0,8,0,3,0.221,0.25,0.26,0.51,39.0,0.24,37.0,20,0
George Harney,38,P,0.3,25,63,61,6,19,1,0,0,8,0,2,0.311,0.333,0.328,0.661,81.0,0.311,82.0,20,0
Eddie Miller,27,UT,0.3,27,80,74,9,18,4,2,0,7,2,6,0.243,0.3,0.351,0.651,77.0,0.302,76.0,26,0
Willie Powell*,24,P,-0.1,18,51,47,2,7,1,0,0,4,0,4,0.149,0.216,0.17,0.386,7.0,0.193,8.0,8,0
Bobby Williams,32,IF,-0.7,24,83,72,9,12,2,0,0,3,1,8,0.167,0.277,0.194,0.472,31.0,0.241,39.0,14,3
Harold Treadwell,31,P,-0.1,10,22,22,2,4,0,0,0,2,0,0,0.182,0.182,0.182,0.364,0.0,0.17,-7.0,4,0
Frog Holsey,22,P,0.0,2,5,5,1,1,0,0,0,1,0,0,0.2,0.2,0.2,0.4,9.0,0.186,3.0,1,0
Red Haley*,27,IF,0.2,5,11,11,0,3,2,0,0,1,0,0,0.273,0.273,0.455,0.727,95.0,0.322,89.0,5,0
Owen Smaulding,31,P,0.1,5,16,16,1,4,1,0,0,1,0,0,0.25,0.25,0.313,0.563,53.0,0.256,48.0,5,0
James Bray,29,C,-0.1,2,9,9,0,3,0,0,0,0,1,0,0.333,0.333,0.333,0.667,82.0,0.323,82.0,3,0
Tommie Dukes*,21,C,-0.1,5,12,10,0,0,0,0,0,0,0,2,0.0,0.167,0.0,0.167,-51.0,0.123,-36.0,0,0
Charlie Hancock,25,C,-0.1,1,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-110.0,0,0
Webster McDonald*,28,P,-0.1,1,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-110.0,0,0
