Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Bats
Bernell Longest*,28,2B,0.4,29,134,125,18,40,5,2,0,19,3,6,0.32,0.366,0.392,0.758,103.0,0.361,103.0,49,3,0,Left
Earl Bumpus*,33,UT,0.0,24,78,66,8,14,2,0,1,15,0,10,0.212,0.325,0.288,0.613,64.0,0.31,72.0,19,1,1,Left
Lyman Bostock*,29,1B,0.4,22,90,81,10,27,4,1,0,14,0,8,0.333,0.393,0.407,0.801,114.0,0.386,115.0,33,0,1,Left
John Ritchey*,24,C,0.9,21,87,71,18,23,4,1,0,12,3,14,0.324,0.442,0.408,0.85,128.0,0.417,134.0,29,1,1,Left
Sam Hill*,21,LF,0.0,29,130,115,25,33,6,0,2,12,3,9,0.287,0.354,0.391,0.746,99.0,0.356,99.0,45,3,3,Left
