Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Bats
Neil Robinson,32,UT,1.6,30,112,97,16,30,3,1,4,21,5,14,0.309,0.402,0.485,0.886,165.0,0.428,155.0,47,0,1,0,0,Right
Larry Brown#,38,C,0.7,44,159,136,14,36,6,0,0,17,3,21,0.265,0.367,0.309,0.676,102.0,0.342,107.0,42,0,1,1,0,Both
Marlin Carter*,27,3B,0.8,42,166,148,9,40,4,4,0,16,4,14,0.27,0.333,0.351,0.685,105.0,0.334,102.0,52,0,0,4,0,Left
T.J. Brown,24,SS,0.2,48,171,154,20,40,11,0,0,15,4,10,0.26,0.309,0.331,0.64,92.0,0.314,90.0,51,0,1,6,0,Right
Red Longley,30,LF,0.3,43,158,135,19,33,8,1,0,15,2,20,0.244,0.342,0.319,0.66,98.0,0.33,100.0,43,0,0,3,0,Right
Fred Bankhead,27,2B,1.0,46,186,162,39,39,5,2,1,12,8,19,0.241,0.332,0.315,0.646,93.0,0.328,96.0,51,0,3,2,0,Right
Jelly Taylor*,29,1B,0.3,48,183,155,23,39,5,2,1,10,7,18,0.252,0.329,0.329,0.659,97.0,0.325,94.0,51,0,0,10,2,Left
Bill Bradford*,26,RF,-0.3,33,104,95,11,25,4,0,0,10,2,7,0.263,0.32,0.305,0.626,87.0,0.31,89.0,29,1,1,1,0,Left
Verdell Mathis*,26,CF,0.1,42,127,114,13,24,3,0,1,9,3,11,0.211,0.28,0.263,0.543,63.0,0.273,66.0,30,0,0,2,0,Left
Nat Rogers*,46,OF,-0.1,22,52,52,4,13,0,0,0,6,1,0,0.25,0.25,0.25,0.5,50.0,0.242,49.0,13,0,0,0,0,Left
Lafayette Dumas,20,OF,-0.4,21,54,52,6,11,0,0,1,4,1,1,0.212,0.226,0.269,0.496,48.0,0.239,46.0,14,0,0,1,0,Right
Jesse Warren,25,IF,0.1,10,32,30,1,8,1,0,0,4,0,1,0.267,0.29,0.3,0.59,77.0,0.289,75.0,9,0,0,1,0,Right
Eugene Bremer,23,P,0.2,24,45,39,5,7,1,1,0,4,0,4,0.179,0.273,0.256,0.529,58.0,0.269,63.0,10,0,1,1,0,Right
Willie Hutchinson,25,P,0.0,8,20,20,2,4,0,1,0,4,0,0,0.2,0.2,0.3,0.5,50.0,0.233,43.0,6,0,0,0,0,Right
Henry Nears,33,UT,0.0,5,12,12,0,5,0,0,0,3,0,0,0.417,0.417,0.417,0.833,149.0,0.406,143.0,5,0,0,0,0,Right
Cowan Hyde,33,OF,-0.1,3,14,13,2,3,1,0,0,3,0,1,0.231,0.286,0.308,0.593,78.0,0.292,77.0,4,0,0,0,0,Right
Lefty Boone,20,P,0.0,9,6,5,1,1,0,0,0,2,1,0,0.2,0.2,0.2,0.4,20.0,0.217,5.0,1,0,0,1,0,Right
William Sumrall,23,P,-0.1,10,12,12,1,1,0,0,0,1,0,0,0.083,0.083,0.083,0.167,-50.0,0.081,-45.0,1,0,0,0,0,Right
Junius Savage,21,P,0.0,9,14,12,2,2,0,0,0,1,0,1,0.167,0.231,0.167,0.397,19.0,0.209,23.0,2,0,0,1,0,Right
Johnnie Dawson,25,C,-0.2,8,17,17,1,2,1,0,0,1,0,0,0.118,0.118,0.176,0.294,-12.0,0.138,-12.0,3,0,0,0,0,Right
Felix Evans,29,OF,-0.1,3,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-94.0,0,0,0,0,0,Right
Hughes,,OF,0.0,1,4,4,0,2,0,0,0,0,0,0,0.5,0.5,0.5,1.0,199.0,0.487,190.0,2,0,0,0,0,Right
Ruben Jones*,46,OF,0.0,6,6,6,1,2,0,0,0,0,0,0,0.333,0.333,0.333,0.667,100.0,0.324,96.0,2,0,0,0,0,Left
Babe Davis,31,OF,0.1,5,10,5,3,1,0,0,0,0,0,4,0.2,0.6,0.2,0.8,140.0,0.483,188.0,1,0,1,0,0,Right
Big Train Jackson*,23,P,-0.1,6,12,10,0,0,0,0,0,0,0,1,0.0,0.091,0.0,0.091,-73.0,0.07,-66.0,0,0,0,1,0,Left
Lefty Wilson,23,P,0.0,8,13,13,2,2,0,0,0,0,0,0,0.154,0.154,0.154,0.308,-8.0,0.15,-5.0,2,0,0,0,0,Right
Roosevelt Davis,35,P,0.0,1,4,4,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,50.0,0.243,49.0,1,0,0,0,0,Right
William Newman,,P,0.1,1,1,1,1,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0,498.0,0.973,469.0,1,0,0,0,0,Right
