Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Bats
Ed Steele*,29,RF,1.6,27,114,99,17,39,5,8,2,18,2,8,0.394,0.45,0.667,1.116,224.0,0.499,209.0,66,,2,5,0,Left
Piper Davis,27,1B,1.0,25,103,91,14,34,3,2,2,15,2,9,0.374,0.43,0.516,0.946,176.0,0.436,170.0,47,,0,3,0,Right
Artie Wilson*,24,SS,1.1,27,121,110,17,38,6,0,0,12,2,8,0.345,0.395,0.4,0.795,133.0,0.376,133.0,44,,1,2,0,Left
Lester Lockett,33,LF,0.3,26,106,98,13,26,5,2,0,11,0,4,0.265,0.301,0.357,0.658,92.0,0.309,91.0,35,,1,3,0,Right
