Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Mule Suttles,23,LF,1.8,79,293,274,43,87,21,3,3,49,3,15,0.318,0.362,0.449,0.811,121,0.376,117,123,4
Sandy Thompson*,29,CF,1.2,77,318,291,50,87,14,5,1,29,8,25,0.299,0.358,0.392,0.75,105,0.355,105,114,2
Charles Wesley,27,2B,1.1,71,292,277,37,78,6,2,0,28,1,15,0.282,0.318,0.318,0.636,74,0.306,75,88,0
Geechie Meredith,24,SS,0.3,74,300,278,32,70,8,3,4,27,8,17,0.252,0.307,0.345,0.652,78,0.31,78,96,5
Poindexter Williams,26,C,0.4,64,206,189,20,52,11,1,1,27,1,15,0.275,0.335,0.36,0.695,90,0.331,91,68,2
Felton Stratton,28,3B,-1.3,72,271,258,24,52,6,4,1,25,2,11,0.202,0.24,0.267,0.507,39,0.241,38,69,2
George McAllister*,25,1B,-0.1,75,319,298,38,77,6,6,1,24,0,21,0.258,0.307,0.329,0.636,74,0.304,74,98,0
George Dixon*,28,C,0.5,32,101,82,17,23,4,1,1,15,2,16,0.28,0.416,0.39,0.806,121,0.392,127,32,3
Ruben Jones*,30,RF,0.1,42,134,126,16,30,3,1,1,13,1,7,0.238,0.284,0.302,0.585,60,0.28,60,38,1
Bubbles Anderson,19,2B,0.3,19,62,52,8,13,3,2,0,10,0,9,0.25,0.371,0.385,0.756,107,0.364,109,20,1
Robert Poindexter,26,P,0.6,29,70,69,7,22,3,1,2,10,0,1,0.319,0.329,0.478,0.807,119,0.368,111,33,0
Fred Daniels,31,OF,0.3,27,82,76,14,22,4,2,0,8,0,4,0.289,0.341,0.395,0.736,101,0.348,99,30,2
John Richardson,,UT,-0.4,22,53,51,3,9,1,0,1,4,0,2,0.176,0.208,0.255,0.462,26,0.219,24,13,0
Joe Hewitt*,38,2B,0.1,16,66,52,8,12,2,0,0,4,3,10,0.231,0.394,0.269,0.663,83,0.35,100,14,4
Sam Streeter,23,P,0.2,27,79,78,7,20,1,2,0,4,0,0,0.256,0.266,0.321,0.586,60,0.274,56,25,1
Ray Sheppard,21,SS,-0.2,14,46,44,1,8,1,0,0,3,0,2,0.182,0.217,0.205,0.422,16,0.207,17,9,0
Bill McCall*,26,P,0.0,28,65,59,6,12,1,0,0,3,0,5,0.203,0.277,0.22,0.497,37,0.253,44,13,1
Dizzy Dismukes,34,P,-0.1,7,11,11,0,1,0,1,0,1,0,0,0.091,0.091,0.273,0.364,-3,0.15,-16,3,0
Lewis Means,25,UT,0.1,9,28,23,1,5,0,0,0,0,1,5,0.217,0.357,0.217,0.575,59,0.306,75,5,0
Rufus Battle,27,C,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-104,0,0
Johnny Juran,24,P,0.1,11,18,15,1,3,0,0,0,0,0,3,0.2,0.333,0.2,0.533,48,0.286,64,3,0
Harry Salmon*,29,P,-0.1,7,16,16,1,3,0,0,0,0,0,0,0.188,0.188,0.188,0.375,3,0.179,0,3,0
