Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos.1,Awards
1,Earl Taborn,24,C,0.7,40,143,123,22,36,10,0,0,20,1,14,.293,.383,.374,.757,103,.370,107,46,4,2,2,
2,Buck O'Neil,35,1B,0.8,60,246,217,54,62,14,3,5,37,15,24,.286,.362,.447,.809,116,.384,112,97,2,3,3,
3,Chico Renfroe,24,2B,1.2,53,221,174,33,49,10,2,0,20,3,33,.282,.405,.362,.767,106,.380,114,63,3,11,46/5,
4,Hank Thompson*,21,SS,2.4,43,197,173,51,58,8,5,8,36,7,21,.335,.413,.578,.991,164,.450,152,100,2,1,64/9,
5,Herb Souell#,34,3B,1.0,61,278,255,52,85,5,7,1,32,16,16,.333,.382,.420,.801,114,.387,113,107,4,3,5,"AS,AS"
6,Johnie Scott*,33,LF,-0.1,65,260,241,42,62,10,6,2,27,12,19,.257,.312,.373,.685,83,.328,80,90,0,0,78/9,
7,Willard Brown,32,CF,2.6,48,217,199,42,75,22,7,6,64,12,16,.377,.426,.648,1.074,185,.487,170,129,1,1,8/67,
8,Tom Cooper,,RF,0.0,54,198,164,38,46,6,0,1,25,6,24,.280,.376,.335,.711,91,.353,98,55,1,9,94/783,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards
9,Joe Greene,35,C,1.3,42,151,115,30,38,6,1,4,24,5,30,.330,.476,.504,.981,162,.464,163,58,2,4,2/791,
10,Ted Strong#,30,OF,-0.1,41,138,116,12,26,4,0,2,15,0,20,.224,.348,.310,.658,77,.332,85,36,2,0,9/35,
11,Curt Roberts,17,MI,0.6,19,78,71,12,25,2,3,2,13,0,4,.352,.387,.549,.936,149,.427,140,39,0,3,6/4,
12,John Sanderson,19,SS,-0.2,9,30,28,2,6,0,0,0,4,0,2,.214,.267,.214,.481,29,.245,35,6,0,0,/6,
13,Thomas Favors*,26,UT,-0.1,6,26,21,3,5,0,0,0,0,1,3,.238,.360,.238,.598,62,.318,77,5,1,1,/379,
14,Lee Moody,30,IF,0.0,3,13,12,3,3,0,1,0,1,0,1,.250,.308,.417,.724,93,.334,86,5,0,0,/34,
15,Bill Duffy,,C,0.0,1,4,2,2,0,0,0,0,0,1,2,.000,.500,.000,.500,39,.410,118,0,0,0,/2,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards
16,Jim LaMarque*,26,P,0.3,25,69,63,13,18,3,2,0,13,0,2,.286,.318,.397,.715,91,.335,86,25,1,3,1/7948,
17,Hilton Smith,40,P,0.1,23,45,43,4,12,1,0,1,10,0,1,.279,.295,.372,.668,78,.312,73,16,0,1,1,
18,Ford Smith#,28,P,0.1,15,44,38,8,10,0,0,1,9,0,4,.263,.333,.342,.675,81,.329,82,13,0,2,/197,AS
19,Connie Johnson,24,P,-0.1,18,28,25,7,4,1,0,0,2,0,2,.160,.222,.200,.422,13,.214,15,5,0,1,1,
20,Ted Alexander,34,P,0.0,11,22,17,0,2,0,0,0,1,0,3,.118,.250,.118,.368,0,.214,10,2,0,2,1,
21,Steve Wylie,36,P,0.1,10,21,19,3,4,1,1,0,3,0,1,.211,.250,.368,.618,64,.283,55,7,0,1,/1,
22,Cannonball Berry,35,P,-0.1,16,15,13,0,2,0,0,0,0,0,0,.154,.154,.154,.308,-18,.148,-38,2,0,2,1,
23,Gene Richardson*,19,P,-0.1,3,12,11,0,2,0,0,0,1,0,0,.182,.182,.182,.364,-3,.175,-13,2,0,1,/1,
24,Gene Collins*,22,P,0.0,8,12,11,1,2,0,0,0,0,0,1,.182,.250,.182,.432,16,.226,25,2,0,0,/1,
25,Satchel Paige,40,P,-0.1,7,10,9,0,1,0,0,0,2,0,0,.111,.111,.111,.222,-40,.107,-58,1,0,1,/1,
26,Larry Napoleon,25,P,-0.1,3,5,5,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-104,0,0,0,/1,
27,Johnnie Scroggins,24,P,-0.1,4,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-105,0,0,0,/1,
,Team Totals,,,10.2,65,2487,2169,434,633,103,38,33,359,79,243,.292,.369,.420,.789,111,.377,109,911,23,52,,
,Non-Pitcher Totals,,,10.2,,2200,1911,398,576,97,35,31,318,79,229,.301,.383,.437,.820,119,.391,117,836,22,38,,
,Pitcher Totals,,,0.0,,287,258,36,57,6,3,2,41,0,14,.221,.264,.291,.554,48,.267,45,75,1,14,,
