Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
1,John Barnes*,27,C,0.0,52,171,162,10,41,7,2,0,19,1,9,.253,.292,.321,.613,66,.286,67,52,0,2/6,
2,George McAllister*,31,1B,0.4,60,250,224,37,62,9,2,1,24,2,26,.277,.352,.348,.700,90,.332,94,78,0,*3/2,
3,Jim West#,25,2B,0.1,31,121,110,21,28,5,1,0,6,2,11,.255,.322,.318,.640,74,.304,78,35,0,4/3,
4,Chester Williams,24,SS,1.4,63,235,219,34,65,8,8,2,28,4,16,.297,.345,.434,.778,109,.354,107,95,0,*6/2,
5,Jimmy Binder,27,3B,-0.3,49,193,182,20,45,2,2,0,9,3,11,.247,.290,.280,.570,55,.270,58,51,0,5/6,
6,Johnny Robinson,24,LF,0.4,55,207,197,23,57,10,1,4,40,4,10,.289,.324,.411,.735,97,.335,96,81,0,7/489,
7,Jimsey Roussell,29,CF,1.1,51,199,190,26,63,13,4,1,38,7,9,.332,.362,.458,.820,120,.375,118,87,0,8/7,
8,Jabbo Andrews*,22,RF,1.1,36,138,130,18,46,7,6,2,27,2,8,.354,.391,.546,.937,151,.418,145,71,0,98/71,
9,Milt Laurent,28,2B,-0.2,66,237,226,40,56,13,4,0,26,4,11,.248,.283,.341,.623,68,.287,67,77,0,498/72315,
10,Nat Rogers*,36,,1.2,34,142,134,24,49,11,5,1,29,3,8,.366,.401,.545,.946,154,.424,149,73,0,97,
11,Charles Zomphier,24,IF,0.7,35,123,103,33,29,3,0,2,16,3,19,.282,.398,.369,.767,109,.368,116,38,1,45/79,
12,Kid Lowe,29,UT,0.4,18,58,53,4,18,3,1,0,7,0,5,.340,.397,.434,.831,124,.387,126,23,0,/29537,
13,Eddie Berry,,MI,-0.3,15,56,55,5,11,1,0,0,6,2,1,.200,.214,.218,.432,17,.208,18,12,0,6/4,
14,Bill Harris,,C,-0.2,21,44,40,4,7,1,0,0,3,0,4,.175,.250,.200,.450,23,.226,31,8,0,2/7,
15,Candy Jim Taylor,46,IF,0.0,22,30,28,3,7,1,0,0,4,1,2,.250,.300,.286,.586,59,.282,63,8,0,/514,
16,Dan Tye,30,3B,-0.1,5,15,15,2,3,1,0,0,0,0,0,.200,.200,.267,.467,25,.212,22,4,0,/5,
17,Saul Davis,29,IF,-0.1,3,13,13,3,2,0,0,0,2,0,0,.154,.154,.154,.308,-17,.144,-17,2,0,/465,
18,Heavy Johnson,35,1B,-0.1,5,12,12,1,3,0,0,0,1,1,0,.250,.250,.250,.500,36,.242,36,3,0,/379,
19,Fields,,2B,-0.1,2,7,7,0,1,0,0,0,1,0,0,.143,.143,.143,.286,-23,.134,-23,1,0,/4,
20,C. Hubert,,C,0.1,3,6,6,1,3,1,0,0,1,0,0,.500,.500,.667,1.167,213,.529,209,4,0,/2,
21,Josh Gibson,18,C,0.1,1,4,4,0,2,0,0,0,0,0,0,.500,.500,.500,1.000,171,.469,175,2,0,/2,
22,Simpson,,C,-0.1,1,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-104,0,0,/2,
23,A. Miller,,,0.1,2,4,4,0,2,1,0,0,0,0,0,.500,.500,.750,1.250,234,.559,229,3,0,/7,
24,Leo Birdine,35,3B,0.0,2,3,3,0,1,0,0,0,0,0,0,.333,.333,.333,.667,81,.313,81,1,0,/15,
25,Martin Oliver,,C,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-107,0,0,/2,
26,Jimmy Morrison,,,0.0,3,1,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-107,0,0,/7,
27,Lloyd Mitchell,,,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,/9,
28,Homer Curry*,25,P,0.7,35,66,60,8,21,4,1,0,8,3,6,.350,.409,.450,.859,132,.401,133,27,0,1/97,
29,Cliff Bell,33,P,0.2,28,50,46,9,11,1,0,0,2,0,4,.239,.300,.261,.561,53,.274,59,12,0,1,
30,Harry Salmon*,35,P,-0.1,21,44,43,4,9,0,1,0,3,0,1,.209,.227,.256,.483,30,.225,30,11,0,1/9,
31,Harry Cunningham,,P,0.0,19,39,38,1,8,3,0,0,4,0,1,.211,.231,.289,.520,40,.240,39,11,0,1/97,
32,Murray Gillispie,22,P,-0.1,16,32,31,2,6,0,0,0,2,0,1,.194,.219,.194,.412,12,.200,15,6,0,1/9,
33,Willie Cornelius,23,P,-0.1,18,30,27,2,3,1,0,0,0,0,3,.111,.200,.148,.348,-5,.181,4,4,0,1/7,
34,Lefty Johnson,,P,0.1,13,12,12,2,3,0,1,0,1,0,0,.250,.250,.417,.667,77,.292,70,5,0,1/8,
35,Carl Glass*,32,P,0.1,6,8,7,1,2,1,0,0,2,0,1,.286,.375,.429,.804,117,.374,118,3,0,/13,
36,Roy Williams,22,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,/1,
