Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
1,Tom Young*,27,C,1.8,56,209,185,40,57,13,6,2,30,13,23,.308,.388,.476,.863,132,.401,131,88,1,*2,
2,Dink Mothell#,32,1B,1.3,67,289,254,64,69,12,8,3,41,10,35,.272,.360,.417,.777,110,.361,110,106,0,34/5,
3,Newt Allen,29,2B,2.6,67,299,278,35,101,15,6,2,35,10,20,.363,.408,.482,.890,140,.408,139,134,1,*46,
4,Halley Harding#,25,SS,0.5,61,275,243,41,60,9,4,0,18,10,31,.247,.335,.317,.651,77,.315,83,77,1,67/598,
5,Newt Joseph,33,3B,1.4,60,234,203,34,54,14,2,4,30,12,31,.266,.363,.414,.777,110,.367,111,84,0,*5/3,
6,L.D. Livingston,25,LF,1.2,61,257,239,37,69,11,6,9,60,3,18,.289,.339,.498,.836,124,.372,118,119,0,*78/9,
7,Bullet Rogan,36,CF,0.6,30,126,108,26,32,6,0,1,20,5,18,.296,.397,.380,.776,111,.372,117,41,0,8/9,
8,LeRoy Taylor*,27,RF,0.5,59,234,219,43,64,16,1,1,38,7,15,.292,.338,.388,.726,96,.337,96,85,0,*98/7,
9,Frank Duncan,29,UT,1.7,54,186,164,33,59,9,4,1,25,2,22,.360,.435,.482,.917,148,.422,148,79,0,293/78,
10,Clem Turner,24,1B,-1.1,21,77,77,3,11,0,0,0,6,0,0,.143,.143,.143,.286,-23,.134,-24,11,0,3/5,
11,Wilson Redus,25,,0.1,12,46,42,5,12,2,0,0,7,0,4,.286,.348,.333,.681,85,.326,90,14,0,7/8,
12,William Bell,32,P,0.2,26,81,74,11,18,3,0,0,11,0,7,.243,.309,.284,.592,61,.287,67,21,0,1/897,
13,Chet Brewer#,23,P,-0.4,25,76,73,5,11,3,0,0,4,2,3,.151,.184,.192,.376,2,.182,3,14,0,1/3879,
14,Army Cooper*,30,P,-0.1,15,49,45,6,6,2,0,0,4,1,4,.133,.204,.178,.382,4,.192,10,8,0,1,
15,Henry McHenry,20,P,0.5,17,45,40,3,13,1,0,0,4,0,4,.325,.400,.350,.750,104,.363,112,14,1,1,
16,Johnny Markham,21,P,0.1,17,37,37,1,7,4,1,0,6,0,0,.189,.189,.351,.541,43,.235,36,13,0,1,
17,Roosevelt Davis,25,P,0.0,2,3,3,0,1,0,0,0,0,0,0,.333,.333,.333,.667,81,.313,81,1,0,/1,
18,Earl Harrison,30,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-107,0,0,/1,
