Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH
Granville Lyons,28,1B,-0.2,19,80,75,6,18,2,3,1,11,0,4,0.24,0.288,0.387,0.674,85.0,0.306,83.0,29,1,0
Nat Rogers*,43,RF,-0.1,17,74,67,7,15,1,0,0,8,3,4,0.224,0.278,0.239,0.517,44.0,0.256,51.0,16,1,2
Jimmy Ford,24,2B,0.0,15,65,64,7,16,1,1,0,8,2,1,0.25,0.262,0.297,0.558,54.0,0.259,55.0,19,0,0
Homer Curry*,32,CF,0.1,13,48,42,9,13,3,0,0,6,2,5,0.31,0.383,0.381,0.764,112.0,0.363,115.0,16,0,1
Bob Smith,30,3B,-0.3,13,44,40,5,8,1,0,0,6,2,3,0.2,0.256,0.225,0.481,34.0,0.239,41.0,9,0,1
Red Longley,27,UT,-0.5,20,75,69,4,11,0,0,0,5,0,4,0.159,0.216,0.159,0.376,5.0,0.191,15.0,11,1,1
Zearlee Maxwell,34,3B,0.0,8,34,31,7,9,1,1,0,5,0,1,0.29,0.313,0.387,0.7,92.0,0.32,90.0,12,0,2
Buck O'Neil,25,UT,0.0,9,34,34,5,10,1,4,0,4,0,0,0.294,0.294,0.559,0.853,131.0,0.366,117.0,19,0,0
Raymond Taylor,26,C,-0.2,17,67,62,7,12,1,0,0,4,2,5,0.194,0.254,0.21,0.463,29.0,0.23,39.0,13,0,0
Leo Sanders,23,SS,0.0,12,43,38,3,10,0,0,0,3,0,1,0.263,0.282,0.263,0.545,51.0,0.26,51.0,10,0,4
Pen Gilliard*,33,LF,0.0,5,21,17,5,5,0,0,0,2,7,4,0.294,0.429,0.294,0.723,103.0,0.395,119.0,5,0,0
Edgar Jackson,,OF,0.0,3,7,7,0,2,0,0,0,2,0,0,0.286,0.286,0.286,0.571,58.0,0.268,61.0,2,0,0
Eppie Hamilton,37,UT,-0.1,5,13,12,0,3,0,0,0,1,0,0,0.25,0.25,0.25,0.5,38.0,0.234,37.0,3,0,1
Pete McQueen,28,OF,0.1,3,6,6,0,3,1,0,0,1,0,0,0.5,0.5,0.667,1.167,220.0,0.528,210.0,4,0,0
Bob Madison,26,UT,0.1,12,41,35,6,9,2,0,0,0,0,5,0.257,0.35,0.314,0.664,85.0,0.323,92.0,11,0,1
Pepper Morgan,,OF,-0.3,7,26,24,1,4,0,0,0,0,0,2,0.167,0.231,0.167,0.397,11.0,0.202,23.0,4,0,0
Claude Hayslett,24,2B,0.0,3,6,5,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.4,11.0,0.188,-3.0,1,0,1
Vet Dunbar,,3B,0.0,1,4,4,1,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,38.0,0.234,41.0,1,0,0
R.B. Bryant,,P,-0.2,9,22,22,3,3,0,0,0,0,0,0,0.136,0.136,0.136,0.273,-24.0,0.128,-20.0,3,0,0
Floyd Kranson,23,P,0.0,4,10,10,1,2,0,0,0,0,0,0,0.2,0.2,0.2,0.4,11.0,0.188,14.0,2,0,0
Emery Adams,25,P,0.1,4,8,8,0,3,0,0,0,0,0,0,0.375,0.375,0.375,0.75,108.0,0.352,109.0,3,0,0
Lefty Wilson,20,P,-0.1,2,7,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-94.0,0,0,0
Lefty Calhoun*,25,P,-0.1,1,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-95.0,0,0,0
Bill Howard,,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-87.0,0,0,0
Harry Cunningham,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
