Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Bats
Willard Brown,23,CF,2.3,47,191,180,34,62,16,4,7,48,20,11,0.344,0.382,0.594,0.977,178.0,0.446,162.0,107,0,0,Right
Henry Milton*,27,LF,1.8,46,205,185,51,62,10,6,3,27,25,17,0.335,0.391,0.503,0.894,156.0,0.42,147.0,93,0,3,Left
Buck O'Neil,26,1B,0.5,45,172,152,29,38,9,3,3,23,11,17,0.25,0.325,0.408,0.733,110.0,0.346,106.0,62,0,3,Right
Newt Allen,37,2B,0.8,39,162,147,27,40,8,1,1,21,4,13,0.272,0.331,0.361,0.692,99.0,0.325,99.0,53,0,2,Right
Ed Mayweather*,28,RF,0.4,31,109,99,15,27,7,3,1,17,3,8,0.273,0.327,0.434,0.761,118.0,0.349,111.0,43,0,2,Left
Turkey Stearnes*,37,OF,0.1,15,66,60,10,16,3,3,0,17,2,4,0.267,0.313,0.417,0.729,108.0,0.335,102.0,25,0,2,Left
Roosevelt Cox,24,3B,0.1,35,131,111,12,23,2,5,0,14,4,15,0.207,0.307,0.315,0.622,79.0,0.3,82.0,35,1,4,Right
Hilton Smith,31,P,1.1,26,71,68,9,25,6,0,3,13,1,2,0.368,0.386,0.588,0.974,177.0,0.435,163.0,40,0,1,Right
Harry Else,32,C,0.9,30,102,90,16,27,2,2,1,11,4,10,0.3,0.382,0.4,0.782,125.0,0.371,124.0,36,2,0,Right
Mex Johnson,26,SS,0.1,40,144,127,24,29,2,4,0,11,4,12,0.228,0.295,0.307,0.602,73.0,0.287,75.0,39,0,5,Right
