Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Bats
Alex Radcliff,32,3B,0.8,35,148,139,24,35,7,5,1,17,4,8,0.252,0.297,0.396,0.693,98.0,0.318,93.0,55,1,0,Right
Rainey Bibbs#,27,2B,0.4,26,111,104,13,28,2,1,0,15,4,5,0.269,0.303,0.308,0.61,76.0,0.291,77.0,32,0,2,Both
Wilson Redus,33,LF,0.6,37,157,137,19,41,4,2,3,15,6,15,0.299,0.373,0.423,0.796,128.0,0.373,126.0,58,1,4,Right
Ed Young,25,UT,0.4,26,99,90,17,25,3,2,1,15,1,6,0.278,0.33,0.389,0.719,106.0,0.333,103.0,35,1,2,Right
Frank Duncan,37,C,0.7,14,57,45,9,15,2,1,2,11,2,9,0.333,0.455,0.556,1.01,189.0,0.46,179.0,25,1,2,Right
Subby Byas#,28,C,0.4,28,98,90,15,25,6,0,1,11,2,8,0.278,0.337,0.378,0.715,105.0,0.334,104.0,34,0,0,Both
Billy Horne,22,MI,0.3,16,61,53,9,15,3,1,1,10,0,5,0.283,0.345,0.434,0.779,123.0,0.359,118.0,23,0,3,Right
Ormond Sampson,28,SS,0.2,17,65,60,4,15,1,1,0,10,1,3,0.25,0.286,0.3,0.586,68.0,0.275,69.0,18,0,2,Right
Turkey Stearnes*,37,CF,0.5,19,77,69,14,18,2,1,2,10,5,7,0.261,0.338,0.406,0.743,113.0,0.353,110.0,28,1,0,Left
