Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,IBB,Bats
Neil Robinson,37,CF,1.0,21,90,81,15,27,6,0,4,17,1,7,0.333,0.4,0.556,0.956,178.0,0.432,165.0,45,2,0,1,Right
Red Longley,35,3B,-0.2,23,85,76,5,16,1,1,0,11,0,5,0.211,0.259,0.25,0.509,49.0,0.247,53.0,19,0,4,0,Right
