Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Pythias Russ,25,SS,2.8,64,251,233,53,86,10,11,3,51,15,18,0.369,0.414,0.545,0.959,148,0.434,148,127,0
Steel Arm Davis*,33,1B,0.6,70,263,246,39,69,15,6,5,45,9,17,0.28,0.327,0.451,0.778,101,0.351,97,111,0
Jelly Gardner*,33,CF,1.5,70,288,245,48,77,10,5,0,27,9,43,0.314,0.417,0.396,0.813,113,0.382,120,97,0
Sandy Thompson*,34,LF,-0.3,69,260,246,27,72,10,0,0,26,5,14,0.293,0.331,0.333,0.664,74,0.309,74,82,0
Charley Williams,32,IF,-0.1,73,279,266,20,73,6,3,0,24,5,13,0.274,0.308,0.32,0.628,64,0.291,62,85,0
Jim Brown#,37,1B,-0.2,48,160,149,19,37,7,2,2,21,4,11,0.248,0.3,0.362,0.662,72,0.304,69,54,0
Harry Jeffries,,3B,-0.5,52,177,165,19,37,3,0,2,18,1,12,0.224,0.277,0.279,0.556,45,0.262,44,46,0
Saul Davis,28,2B,-0.3,44,161,149,23,34,3,2,1,16,4,12,0.228,0.286,0.295,0.581,52,0.273,50,44,0
Malvin Powell,21,RF,-1.0,40,140,133,12,28,5,2,0,10,1,7,0.211,0.25,0.278,0.528,37,0.244,33,37,0
Sanford Jackson,29,3B,-0.1,23,82,79,10,23,0,0,0,9,2,3,0.291,0.317,0.291,0.608,60,0.286,59,23,0
Mitchell Murray,33,C,-0.4,31,87,83,8,17,5,0,0,5,1,4,0.205,0.241,0.265,0.506,32,0.235,27,22,0
Eddie Miller,28,IF,-0.1,16,59,57,8,15,1,1,0,5,2,2,0.263,0.288,0.316,0.604,57,0.28,54,18,0
Willie Wells,24,SS,0.3,4,16,16,4,8,2,1,0,4,1,0,0.5,0.5,0.75,1.25,221,0.558,225,12,0
Yellow Horse Morris,27,P,0.1,19,40,35,2,8,1,0,0,4,0,4,0.229,0.325,0.257,0.582,54,0.288,60,9,1
Jack Marshall,34,P,-0.1,14,31,31,3,6,0,0,0,3,0,0,0.194,0.194,0.194,0.387,1,0.18,-9,6,0
Larry Brown#,27,C,0.0,4,15,13,2,3,1,0,0,2,0,2,0.231,0.333,0.308,0.641,68,0.309,72,4,0
Mule Suttles,28,1B,0.1,4,16,13,2,3,2,0,0,2,0,3,0.231,0.375,0.385,0.76,98,0.358,104,5,0
Bill Foster#,25,P,0.1,27,57,51,9,11,1,0,0,2,1,6,0.216,0.298,0.235,0.534,41,0.262,44,12,0
Frog Holsey,23,P,0.1,23,48,47,4,12,1,0,0,2,1,1,0.255,0.271,0.277,0.547,43,0.254,39,13,0
Ed Rile*,29,1B,0.1,3,11,9,2,3,1,1,0,2,0,2,0.333,0.455,0.667,1.121,188,0.483,182,6,0
Cool Papa Bell#,26,,-0.2,4,18,17,3,3,0,0,0,1,0,1,0.176,0.222,0.176,0.399,5,0.196,1,3,0
John Hines,28,C,-0.1,4,12,11,0,1,1,0,0,1,0,1,0.091,0.167,0.182,0.348,-9,0.169,-15,2,0
Ted Radcliffe,26,P,0.1,1,3,2,1,1,0,0,0,1,0,1,0.5,0.667,0.5,1.167,209,0.558,230,1,0
Ameal Brooks*,22,C,0.1,2,3,3,1,2,1,0,0,0,0,0,0.667,0.667,1.0,1.667,328,0.739,343,3,0
Francis Nance,25,MI,-0.2,3,8,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-123,0,0
Alex Radcliff,23,SS,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-119,0,0
Leonard Nash,,,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-131,0,0
Willie Gay,20,,0.0,1,4,4,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,31,0.232,25,1,0
Webster McDonald*,29,P,-0.1,5,17,17,2,3,1,0,0,0,0,0,0.176,0.176,0.235,0.412,6,0.185,-6,4,0
Herbert Gay,20,P,-0.1,10,11,10,0,0,0,0,0,0,0,1,0.0,0.091,0.0,0.091,-74,0.068,-80,0,0
Robert Poindexter,31,P,0.0,2,4,4,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,31,0.232,25,1,0
Hubert Lockhart,30,P,-0.1,2,4,4,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-123,0,0
Roosevelt Davis,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0
