Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Bats
Donald Reeves*,28,RF,0.4,17,68,61,8,18,3,1,4,24,0,6,0.295,0.358,0.574,0.932,179.0,0.433,160.0,35,0,0,1,0,Left
Ed Young,27,1B,0.5,18,73,65,10,21,4,0,1,11,1,7,0.323,0.397,0.431,0.828,148.0,0.401,142.0,28,0,1,0,0,Right
