Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,SH,Bats
Leroy Morney#,33,IF,0.6,29,109,96,17,25,4,0,2,18,7,12,0.26,0.343,0.365,0.707,118.0,0.349,118.0,35,1,Both
Tommy Sampson,29,2B,0.9,29,119,114,22,38,2,2,2,16,2,4,0.333,0.356,0.439,0.795,144.0,0.371,136.0,50,1,Right
Lloyd Davenport*,30,CF,1.1,25,101,86,18,29,6,0,2,15,6,14,0.337,0.43,0.477,0.907,179.0,0.437,170.0,41,1,Left
Lester Lockett,30,3B,0.2,12,48,45,7,13,0,1,0,9,1,3,0.289,0.333,0.333,0.667,105.0,0.319,105.0,15,0,Right
Ted Radcliffe,39,UT,0.1,14,41,39,3,11,1,0,0,7,0,1,0.282,0.3,0.308,0.608,87.0,0.291,88.0,12,1,Right
Jesse Warren,27,IF,0.4,10,41,33,11,10,1,2,0,7,4,6,0.303,0.41,0.455,0.865,166.0,0.421,160.0,15,2,Right
Felix McLaurin#,20,LF,0.4,12,51,49,5,19,1,0,0,6,2,2,0.388,0.412,0.408,0.82,153.0,0.391,147.0,20,0,Both
Bill Bradford*,28,RF,0.2,20,64,59,7,17,2,1,0,5,1,4,0.288,0.333,0.356,0.689,112.0,0.327,111.0,21,1,Left
Luther Gilyard,32,1B,-0.2,12,39,35,1,7,1,0,0,5,0,2,0.2,0.243,0.229,0.472,45.0,0.231,50.0,8,2,Right
Johnny Smith*,25,1B,0.0,12,42,41,5,11,1,0,0,5,1,1,0.268,0.286,0.293,0.578,78.0,0.276,80.0,12,0,Left
Hoss Walker,37,SS,0.1,22,87,77,9,16,1,0,1,5,3,6,0.208,0.265,0.26,0.525,62.0,0.26,67.0,20,4,Right
Joe Spencer,22,IF,0.2,7,18,17,1,6,1,0,0,4,2,1,0.353,0.389,0.412,0.801,146.0,0.394,141.0,7,0,Right
Lyman Bostock*,24,1B,0.2,8,30,26,2,8,2,1,0,3,0,4,0.308,0.4,0.462,0.862,165.0,0.406,155.0,12,0,Left
Diamond Pipkins*,34,P,0.4,13,28,26,6,10,1,0,0,3,0,0,0.385,0.385,0.423,0.808,148.0,0.382,145.0,11,2,Left
Clarence Lamar,27,3B,0.2,7,25,24,4,8,2,0,0,3,0,1,0.333,0.36,0.417,0.777,139.0,0.367,133.0,10,0,Right
Paul Hardy,31,C,0.2,20,66,58,9,15,4,0,0,2,1,5,0.259,0.317,0.328,0.645,99.0,0.31,100.0,19,3,Right
Alphonse Dunn,30,1B,0.2,3,15,13,3,7,0,0,0,2,0,0,0.538,0.538,0.538,1.077,232.0,0.513,236.0,7,2,Right
Roger Harris,,P,-0.1,11,34,28,4,6,0,0,0,2,0,4,0.214,0.313,0.214,0.527,63.0,0.272,75.0,6,2,Right
Goose Tatum#,24,,-0.1,6,16,14,1,2,1,0,0,1,0,2,0.143,0.25,0.214,0.464,43.0,0.237,57.0,3,0,Both
Bennett,,,-0.1,4,7,7,0,1,0,0,0,1,0,0,0.143,0.143,0.143,0.286,-12.0,0.136,-2.0,1,0,Right
Jesse Matthews,,1B,0.0,1,5,5,0,1,0,0,0,1,0,0,0.2,0.2,0.2,0.4,23.0,0.191,29.0,1,0,Right
Ed Steele*,26,,0.0,1,2,2,0,1,0,0,0,1,0,0,0.5,0.5,0.5,1.0,208.0,0.476,200.0,1,0,Left
Specs Ellis,,P,0.1,3,8,6,1,1,0,0,0,1,0,2,0.167,0.375,0.167,0.542,69.0,0.305,96.0,1,0,Right
Jesse Douglas*,26,2B,-0.1,2,5,5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,-100.0,0.053,-83.0,0,0,Left
Johnnie Dawson,27,C,-0.1,1,5,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-84.0,0,0,Right
Piper Davis,24,2B,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-84.0,0,0,Right
Eddie Snead,31,2B,0.0,1,4,3,0,1,0,0,0,0,0,1,0.333,0.5,0.333,0.833,159.0,0.424,165.0,1,0,Right
Alex Radcliff,36,3B,-0.1,1,5,4,0,0,0,0,0,0,0,1,0.0,0.2,0.0,0.2,-36.0,0.149,5.0,0,0,Right
Harry Barnes,26,C,0.0,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-84.0,0,0,Right
Johnny Markham,33,P,-0.1,13,21,17,0,1,0,0,0,0,0,2,0.059,0.158,0.059,0.217,-32.0,0.128,-19.0,1,2,Right
Gready McKinnis,28,P,0.1,10,17,15,1,3,1,0,0,0,0,1,0.2,0.25,0.267,0.517,59.0,0.25,62.0,4,1,Right
Alvin Gipson,28,P,-0.1,12,14,14,0,1,0,0,0,0,1,0,0.071,0.071,0.071,0.143,-56.0,0.076,-43.0,1,0,Right
Dan Bankhead,22,P,0.0,6,13,11,0,2,0,0,0,0,0,2,0.182,0.308,0.182,0.49,52.0,0.261,70.0,2,0,Right
