Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Bullet Rogan,35,CF,3.5,72,301,259,65,93,16,9,7,69,26,41,0.359,0.449,0.571,1.02,164.0,0.464,165.0,148,1,Right
L.D. Livingston,24,LF,1.0,74,287,255,51,70,9,12,5,50,6,32,0.275,0.355,0.463,0.818,112.0,0.367,110.0,118,0,Right
Tom Young*,26,C,1.8,44,147,137,37,51,10,4,5,37,8,10,0.372,0.415,0.613,1.028,164.0,0.458,163.0,84,0,Left
