Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH
Willard Brown,23,CF,2.3,47,191,180,34,62,16,4,7,48,20,11,0.344,0.382,0.594,0.977,178.0,0.446,162.0,107,0,0
Henry Milton*,27,LF,1.8,46,205,185,51,62,10,6,3,27,25,17,0.335,0.391,0.503,0.894,156.0,0.42,147.0,93,0,3
Buck O'Neil,26,1B,0.5,45,172,152,29,38,9,3,3,23,11,17,0.25,0.325,0.408,0.733,110.0,0.346,106.0,62,0,3
Newt Allen,37,2B,0.8,39,162,147,27,40,8,1,1,21,4,13,0.272,0.331,0.361,0.692,99.0,0.325,99.0,53,0,2
Ed Mayweather*,28,RF,0.4,31,109,99,15,27,7,3,1,17,3,8,0.273,0.327,0.434,0.761,118.0,0.349,111.0,43,0,2
Turkey Stearnes*,37,OF,0.1,15,66,60,10,16,3,3,0,17,2,4,0.267,0.313,0.417,0.729,108.0,0.335,102.0,25,0,2
Roosevelt Cox,24,3B,0.1,35,131,111,12,23,2,5,0,14,4,15,0.207,0.307,0.315,0.622,79.0,0.3,82.0,35,1,4
Hilton Smith,31,P,1.1,26,71,68,9,25,6,0,3,13,1,2,0.368,0.386,0.588,0.974,177.0,0.435,163.0,40,0,1
Harry Else,32,C,0.9,30,102,90,16,27,2,2,1,11,4,10,0.3,0.382,0.4,0.782,125.0,0.371,124.0,36,2,0
Mex Johnson,26,SS,0.1,40,144,127,24,29,2,4,0,11,4,12,0.228,0.295,0.307,0.602,73.0,0.287,75.0,39,0,5
Rainey Bibbs#,27,IF,1.0,19,82,70,14,24,3,0,0,9,6,10,0.343,0.439,0.386,0.825,138.0,0.407,141.0,27,2,0
Vet Barnes,26,P,0.3,11,25,24,7,7,4,0,0,8,0,0,0.292,0.292,0.458,0.75,114.0,0.337,104.0,11,0,1
Ted Strong#,21,SS,0.5,3,15,13,6,5,1,2,1,6,0,2,0.385,0.467,1.0,1.467,315.0,0.607,260.0,13,0,0
Jack Marshall,29,3B,0.0,7,29,28,1,5,0,1,0,4,3,1,0.179,0.207,0.25,0.457,31.0,0.222,33.0,7,0,0
Bullet Rogan,44,OF,-0.2,13,32,28,5,6,1,0,0,3,1,3,0.214,0.29,0.25,0.54,56.0,0.268,63.0,7,0,1
Frank Duncan,37,C,0.2,20,72,61,10,12,2,0,0,3,1,7,0.197,0.29,0.23,0.519,50.0,0.26,60.0,14,1,3
Raymond Taylor,27,C,0.0,2,7,7,3,2,0,0,0,2,3,0,0.286,0.286,0.286,0.571,64.0,0.31,68.0,2,0,0
Betts,,OF,-0.1,3,11,9,2,1,0,0,0,1,2,1,0.111,0.273,0.111,0.384,13.0,0.242,42.0,1,1,0
Johnny Markham,29,P,0.0,15,20,18,1,3,1,0,0,1,0,0,0.167,0.167,0.222,0.389,11.0,0.178,3.0,4,0,2
Willie Simms*,29,OF,-0.1,3,14,12,0,3,0,0,0,0,0,0,0.25,0.25,0.25,0.5,44.0,0.236,37.0,3,0,2
Pen Gilliard*,34,OF,-0.1,1,3,3,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-90.0,0,0,0
Johnnie Dawson,23,C,-0.2,4,4,4,1,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,44.0,0.236,46.0,1,0,0
Floyd Kranson,24,P,0.1,13,23,21,1,5,0,0,0,0,0,1,0.238,0.273,0.238,0.511,48.0,0.248,51.0,5,0,1
Ernie Smith*,30,UT,0.0,3,9,7,1,0,0,0,0,0,0,2,0.0,0.222,0.0,0.222,-33.0,0.167,6.0,0,0,0
Frank Bradley,20,P,-0.2,13,21,21,0,1,0,0,0,0,0,0,0.048,0.048,0.048,0.095,-73.0,0.045,-64.0,1,0,0
Lefty Moses,24,P,0.0,6,10,10,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.4,15.0,0.188,19.0,2,0,0
Andy Cooper,41,P,0.0,3,6,6,0,1,0,0,0,0,0,0,0.167,0.167,0.167,0.333,-4.0,0.157,1.0,1,0,0
Blackburn,,P,-0.1,2,5,5,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-90.0,0,0,0
Big Train Jackson*,21,P,0.0,5,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-90.0,0,0,0
Eugene Bremer,21,P,0.0,3,3,1,1,0,0,0,0,0,0,1,0.0,0.5,0.0,0.5,51.0,0.375,139.0,0,0,1
McLemore,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Parker,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
