Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Otto Ray,31,C,0.9,29,97,86,17,31,11,3,2,22,2,10,0.36,0.433,0.628,1.061,188.0,0.476,176.0,54,1,Right
Vic Harris*,19,LF,0.9,30,125,108,22,28,4,3,2,16,2,14,0.259,0.36,0.407,0.767,110.0,0.362,109.0,44,3,Left
Orville Singer,25,RF,-0.2,27,118,110,17,27,2,2,0,12,2,7,0.245,0.297,0.3,0.597,63.0,0.286,65.0,33,1,Right
Boots McClain,25,2B,-0.7,27,113,103,13,20,1,1,2,11,2,9,0.194,0.265,0.282,0.547,50.0,0.264,51.0,29,1,Right
