Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Bats
Ed Young,26,1B,0.7,28,114,97,16,26,7,1,1,17,8,17,0.268,0.377,0.392,0.769,124.0,0.377,125.0,38,Right
Alex Radcliff,33,3B,0.4,34,144,135,21,35,6,3,1,15,1,9,0.259,0.306,0.37,0.676,96.0,0.316,93.0,50,Right
Pepper Bassett#,28,C,-0.3,30,111,104,12,21,3,1,0,13,1,7,0.202,0.252,0.25,0.502,46.0,0.243,49.0,26,Both
Willie Simms*,30,CF,1.0,29,131,115,15,34,4,2,3,12,4,16,0.296,0.382,0.443,0.825,140.0,0.388,136.0,51,Left
Ernie Smith*,31,LF,0.2,35,126,120,12,34,2,1,0,11,7,6,0.283,0.317,0.317,0.634,85.0,0.31,86.0,38,Left
Joe Sparks,28,SS,0.2,29,93,85,9,18,2,3,1,11,1,8,0.212,0.28,0.341,0.621,80.0,0.292,79.0,29,Right
