Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB
Jimmy Ford,31,3B,0.1,25,100,90,8,25,3,0,1,13,2,7,0.278,0.337,0.344,0.681,110,0.332,110,31,1,1,2,0
Fred Bankhead,31,2B,0.5,26,102,91,19,28,3,1,0,10,5,5,0.308,0.351,0.363,0.713,119,0.352,119,33,0,1,5,0
Neil Robinson,36,CF,0.5,25,104,93,10,27,3,1,1,8,6,9,0.29,0.359,0.376,0.736,126,0.366,126,35,0,1,1,0
Fred McDaniel*,31,LF,-0.2,23,92,84,11,22,4,1,0,7,1,5,0.262,0.319,0.333,0.652,101,0.317,101,28,0,2,1,0
Verdell Mathis*,30,UT,0.7,21,65,60,6,19,2,1,0,6,1,5,0.317,0.369,0.383,0.753,131,0.356,126,23,0,0,0,1
Casey Jones*,25,C,0.0,17,39,36,3,8,2,0,0,5,0,3,0.222,0.282,0.278,0.56,72,0.276,75,10,0,0,0,0
Red Longley,34,UT,0.0,20,63,50,4,8,1,0,0,5,2,10,0.16,0.311,0.18,0.491,52,0.261,62,9,0,1,2,1
Cowan Hyde,37,RF,-0.5,26,100,96,11,17,5,2,0,4,4,4,0.177,0.21,0.271,0.481,47,0.236,46,26,0,0,0,0
T.J. Brown,28,SS,-0.3,17,72,69,4,13,3,0,0,3,0,2,0.188,0.211,0.232,0.443,36,0.215,36,16,0,0,1,0
Jim Canada*,32,1B,-0.4,24,88,78,4,13,0,0,0,3,0,7,0.167,0.235,0.167,0.402,24,0.208,30,13,0,0,3,0
Larry Brown#,42,C,0.1,14,37,29,1,6,2,0,0,2,0,5,0.207,0.324,0.276,0.599,85,0.304,91,8,0,0,3,0
Rufus Ligon,41,P,0.0,5,4,4,0,1,0,0,0,2,0,0,0.25,0.25,0.25,0.5,54,0.24,53,1,0,0,0,0
Pepper Sharpe#,25,UT,-0.1,6,17,16,2,6,0,1,0,1,0,0,0.375,0.375,0.5,0.875,168,0.411,162,8,0,0,1,0
Porter Moss,34,P,0.1,9,19,18,0,4,0,0,0,1,1,0,0.222,0.222,0.222,0.444,37,0.221,32,4,0,0,1,0
Willie Wells,21,IF,-0.2,8,7,7,1,1,0,0,0,1,0,0,0.143,0.143,0.143,0.286,-12,0.137,-11,1,0,0,0,0
Buck Felder,28,UT,0.0,11,33,25,6,3,2,0,0,0,3,7,0.12,0.313,0.2,0.513,59,0.292,76,5,0,0,1,0
Nat Rogers*,50,OF,-0.1,8,8,7,0,1,0,0,0,0,0,1,0.143,0.25,0.143,0.393,22,0.137,-28,1,0,0,0,1
Spike Garrett,,2B,0.0,1,2,2,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,208,0.481,205,1,0,0,0,0
Felix Evans,33,OF,0.0,4,3,3,1,1,1,0,0,0,0,0,0.333,0.333,0.667,1.0,205,0.463,191,2,0,0,0,0
Robert Keyes*,,P,0.1,3,9,9,0,2,1,0,0,0,0,0,0.222,0.222,0.333,0.556,70,0.261,65,3,0,0,0,0
Willie Hutchinson,29,P,-0.2,11,14,13,1,1,0,0,0,0,0,0,0.077,0.077,0.077,0.154,-53,0.074,-63,1,0,0,1,0
Edgar Chatman,27,P,-0.1,3,7,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-96,0,0,0,0,0
Al Jones,,P,0.0,1,4,3,0,0,0,0,0,0,0,1,0.0,0.25,0.0,0.25,-21,0.185,18,0,0,0,0,0
Steve Wylie,33,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-100,0,0,0,0,0
Les Henderson,,P,0.0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0
