,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos.1,Awards
0,1,Casey Jones*,29,C,-0.6,13,46,43,2,5,2,0,0,2,0,2,.116,.156,.163,.318,-15,.156,-14,7,0,1,2,
1,2,Bob Boyd*,28,1B,1.1,13,59,54,9,30,7,1,1,16,5,4,.556,.593,.778,1.371,265,.627,252,42,1,0,3,"AS,AS"
2,3,Johnnie Cowan,35,2B,-0.5,11,45,40,3,7,1,1,0,2,0,3,.175,.250,.250,.500,34,.246,38,10,1,1,4,
3,4,Willie Wells,25,SS,-0.3,12,38,34,2,5,1,0,0,2,0,2,.147,.216,.176,.393,6,.202,12,6,1,1,6/45,
4,5,Willie Wells,43,3B,0.4,6,19,17,6,8,2,1,0,3,1,2,.471,.526,.706,1.232,228,.556,214,12,0,0,/5,
5,6,Joe Burt Scott*,27,LF,0.0,11,49,39,7,5,0,1,0,2,0,9,.128,.306,.179,.486,32,.270,53,7,1,0,/79,
6,7,José Colás,24,CF,0.4,9,37,34,9,14,4,2,1,6,0,2,.412,.444,.735,1.180,212,.517,195,25,0,1,/86,AS
7,8,Cowan Hyde,41,RF,-0.5,12,56,51,11,8,0,3,0,3,0,3,.157,.218,.275,.493,31,.232,30,14,1,1,9/7,
8,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards
9,9,Neil Robinson,40,UT,0.2,13,46,42,7,14,3,0,1,8,2,3,.333,.378,.476,.854,127,.396,124,20,0,1,/875,AS
10,10,Orlando Varona,22,IF,-0.1,9,29,27,1,5,0,0,1,3,1,2,.185,.241,.296,.538,43,.255,43,8,0,0,/65,
11,11,Cándido Morales,33,3B,0.2,3,12,10,0,5,1,0,0,1,0,2,.500,.583,.600,1.183,217,.556,215,6,0,0,/5,
12,12,Harry Barnes,32,C,-0.1,2,7,6,0,0,0,0,0,0,0,1,.000,.143,.000,.143,-60,.111,-37,0,0,0,/2,
13,13,George Handy*,28,2B,-0.1,2,7,6,1,0,0,0,0,0,0,1,.000,.143,.000,.143,-60,.111,-37,0,0,0,/4,
14,14,Jesse Warren,33,3B,-0.1,1,5,5,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-100,0,0,0,/5,
15,15,Nat Peeples,22,C,0.0,2,3,3,0,1,0,0,0,0,0,0,.333,.333,.333,.667,79,.318,80,1,0,0,/2,
16,16,Cecil Jordan,,SS,0.1,1,1,0,0,0,0,0,0,0,0,1,,1.000,,,,.778,347,0,0,0,/6,
17,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards
18,17,Verdell Mathis*,34,P,-0.1,7,14,12,2,2,0,0,0,1,0,1,.167,.231,.167,.397,8,.207,11,2,0,1,/18,
19,18,Spoon Carter*,45,P,-0.1,8,12,12,1,1,0,0,0,0,0,0,.083,.083,.083,.167,-55,.080,-55,1,0,0,/1,"AS,AS"
20,19,Pepper Sharpe#,29,P,0.1,5,8,6,1,2,1,0,0,1,0,2,.333,.500,.500,1.000,168,.476,170,3,0,0,/18,
21,20,Sam Woods,27,P,-0.1,4,7,7,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-100,0,0,0,/1,
22,21,Felix Evans,37,P,0.0,4,6,6,1,1,0,0,0,0,0,0,.167,.167,.167,.333,-11,.159,-11,1,0,0,/1,
23,22,Sack Morgan,,P,0.1,4,5,4,2,2,0,0,0,1,2,1,.500,.600,.500,1.100,196,.566,204,2,0,0,/1,
24,23,Raúl Sánchez,20,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-107,0,0,0,/1,
25,24,Collins,,P,,1,0,0,0,0,0,0,0,,,0,,,,,,,,,,,/1,
26,,Team Totals,,,0.0,13,512,459,65,115,22,9,4,51,11,41,.251,.319,.364,.683,82,.324,82,167,5,7,,
27,,Non-Pitcher Totals,,,0.1,,459,411,58,107,21,9,4,48,9,37,.260,.329,.384,.713,90,.337,90,158,5,6,,
28,,Pitcher Totals,,,-0.2,,53,48,7,8,1,0,0,3,2,4,.167,.231,.188,.418,13,.216,19,9,0,1,,
