Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Bats
Turkey Stearnes*,24,CF,5.3,94,412,367,93,136,24,14,19,126,11,45,0.371,0.439,0.668,1.107,193.0,0.479,183.0,245,Left
Clarence Smith,,RF,2.6,92,399,381,84,131,25,10,5,82,19,18,0.344,0.373,0.501,0.875,133.0,0.395,129.0,191,Right
Edgar Wesley*,34,1B,3.8,60,256,228,58,92,12,4,17,73,10,28,0.404,0.469,0.715,1.184,213.0,0.513,202.0,163,Left
Bill Riggins#,25,SS,2.0,94,395,363,63,97,16,9,8,69,26,32,0.267,0.327,0.427,0.754,101.0,0.346,99.0,155,Both
Anderson Pryor,24,2B,2.6,90,375,326,67,93,22,5,6,47,20,49,0.285,0.379,0.439,0.817,119.0,0.379,119.0,143,Right
Ray Sheppard,22,3B,1.5,52,194,183,43,62,6,3,5,35,5,11,0.339,0.376,0.486,0.863,130.0,0.386,127.0,89,Right
Harry Kenyon,31,P,0.1,65,224,212,33,60,7,2,4,33,8,12,0.283,0.321,0.392,0.713,91.0,0.326,90.0,83,Right
Johnny Jones,25,LF,0.7,80,324,294,68,80,12,7,3,30,8,30,0.272,0.34,0.391,0.731,96.0,0.335,96.0,115,Right
Pepper Daniels,22,C,-0.1,71,250,232,27,52,7,2,4,27,8,18,0.224,0.28,0.323,0.603,62.0,0.281,62.0,75,Right
Fred Bell*,23,P,0.9,40,109,97,16,26,3,3,3,23,6,12,0.268,0.349,0.454,0.802,114.0,0.366,112.0,44,Left
Dan Kennard,41,C,-0.1,41,111,104,12,23,2,1,3,20,1,7,0.221,0.27,0.346,0.616,64.0,0.279,63.0,36,Right
Lewis Hampton,24,P,0.5,28,83,74,14,18,2,3,3,15,1,9,0.243,0.325,0.473,0.798,112.0,0.352,107.0,35,Right
