Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Stack Martin,27,UT,1.8,76,308,294,51,104,22,7,4,65,11,11,0.354,0.383,0.517,0.9,130,0.405,128,152,3
Ruben Jones*,32,RF,1.7,65,282,269,47,84,17,5,6,53,7,10,0.312,0.344,0.48,0.824,110,0.368,106,129,3
Halley Harding#,21,SS,2.7,72,305,270,52,102,17,3,1,44,15,30,0.378,0.449,0.474,0.923,138,0.431,144,128,5
Bingo DeMoss,36,2B,1.7,81,341,314,37,81,10,3,0,36,24,22,0.258,0.317,0.309,0.626,62,0.305,64,97,5
Ed Rile*,26,1B,0.3,60,236,213,29,66,12,5,2,32,2,23,0.31,0.377,0.441,0.818,111,0.375,111,94,0
LeRoy Taylor*,23,CF,-0.8,68,309,289,51,82,6,2,1,25,8,18,0.284,0.33,0.329,0.659,71,0.311,72,95,2
Sylvester Foreman,30,C,-0.3,55,205,185,25,44,4,4,1,23,1,18,0.238,0.312,0.319,0.631,63,0.299,64,59,2
Johnny Jones,26,LF,0.6,41,194,179,43,54,7,5,2,23,5,11,0.302,0.356,0.43,0.786,102,0.359,101,77,4
Bobby Robinson,22,3B,-1.5,60,227,203,33,39,5,1,2,20,6,23,0.192,0.278,0.256,0.534,39,0.261,40,52,1
Ernest Duff,26,OF,0.5,20,79,74,15,30,1,1,1,14,3,5,0.405,0.443,0.486,0.93,140,0.428,143,36,0
Frank Stevens,,P,1.0,33,102,86,23,25,7,1,3,14,2,12,0.291,0.402,0.5,0.902,132,0.408,131,43,4
George Dixon*,30,C,0.0,30,111,100,18,26,3,1,0,13,0,10,0.26,0.333,0.31,0.643,67,0.31,70,31,1
Bill Evans#,27,OF,0.3,29,117,110,21,32,9,0,0,12,1,7,0.291,0.333,0.373,0.706,82,0.327,81,41,0
George Mitchell,26,P,0.5,15,41,39,7,13,1,1,3,11,2,2,0.333,0.366,0.641,1.007,155,0.438,146,25,0
Bill Drake,31,P,0.6,19,56,46,10,13,2,0,2,9,0,10,0.283,0.411,0.457,0.867,124,0.402,127,21,0
Juan Padrón*,33,P,0.1,11,24,22,2,5,1,0,0,3,0,2,0.227,0.292,0.273,0.564,46,0.273,48,6,0
Bobby Williams,30,SS,0.1,4,20,18,1,5,1,0,0,3,1,2,0.278,0.35,0.333,0.683,77,0.332,81,6,0
Bill McCall*,28,P,-0.2,22,59,57,3,11,0,0,0,3,0,2,0.193,0.22,0.193,0.413,8,0.201,3,11,0
Eddie Miller,25,P,0.0,21,39,37,3,8,0,0,0,2,0,2,0.216,0.256,0.216,0.473,23,0.231,22,8,0
John Barnes*,23,C,0.1,10,30,28,2,9,0,0,0,0,0,2,0.321,0.367,0.321,0.688,79,0.332,84,9,0
Wilmer Euell,30,C,-0.1,2,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-119,0,0
