Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
John Kemp,,CF,-0.7,62,241,233,26,63,12,1,2,26,4,8,0.27,0.295,0.356,0.651,77.0,0.303,74.0,83,0,Right
John Henry Russell,26,3B,0.5,60,246,226,20,53,9,5,0,22,8,19,0.235,0.297,0.319,0.615,68.0,0.297,69.0,72,1,Right
Bob Miller,,2B,0.3,59,218,197,20,45,6,4,0,21,0,17,0.228,0.303,0.299,0.602,65.0,0.294,68.0,59,4,Right
Marion Cunningham,28,1B,-1.3,60,226,220,20,47,6,1,2,20,1,6,0.214,0.235,0.277,0.512,40.0,0.24,37.0,61,0,Right
Earl Gurley*,25,LF,0.6,58,207,192,20,52,11,3,1,20,3,15,0.271,0.324,0.375,0.699,91.0,0.328,89.0,72,0,Left
Larry Brown#,22,C,0.8,56,191,171,21,39,4,5,1,14,4,16,0.228,0.309,0.327,0.636,74.0,0.306,76.0,56,4,Both
Sanford Jackson,24,SS,-0.1,51,205,184,40,49,6,2,0,12,9,18,0.266,0.341,0.321,0.662,82.0,0.327,86.0,59,3,Right
Willie Spearman,24,P,0.7,27,57,50,6,16,1,3,1,10,2,6,0.32,0.404,0.52,0.924,151.0,0.425,145.0,26,1,Right
