Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,SH,Bats
Ted Strong#,25,RF,1.8,34,148,132,31,48,8,0,6,32,1,14,0.364,0.425,0.561,0.985,202.0,0.456,187.0,74,2,Both
Willard Brown,27,CF,1.3,35,150,142,25,48,6,2,4,26,2,8,0.338,0.373,0.493,0.866,165.0,0.402,154.0,70,0,Right
Buck O'Neil,30,1B,0.3,36,148,143,20,40,7,1,1,23,2,5,0.28,0.304,0.364,0.668,105.0,0.314,102.0,52,0,Right
Bonnie Serrell*,22,2B,1.6,33,124,114,22,41,4,5,3,22,2,8,0.36,0.402,0.561,0.963,195.0,0.442,179.0,64,2,Left
Joe Greene,30,C,0.7,24,97,84,17,19,5,1,4,18,1,12,0.226,0.323,0.452,0.775,137.0,0.361,130.0,38,1,Right
Bill Williams,29,SS,0.6,36,140,125,13,29,5,2,2,14,2,14,0.232,0.309,0.352,0.661,103.0,0.316,103.0,44,1,Right
Herb Souell#,29,3B,0.1,23,96,92,13,25,3,0,0,10,1,3,0.272,0.295,0.304,0.599,84.0,0.285,85.0,28,1,Both
