,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos.1,Awards
0,1,Subby Byas#,28,C,0.4,28,98,90,15,25,6,0,1,11,2,8,.278,.337,.378,.715,105,.334,104,34,0,0,23/4,
1,2,Luther Gilyard,28,1B,-0.1,18,59,52,8,11,2,1,0,3,0,6,.212,.293,.288,.582,67,.281,72,15,0,1,3,
2,3,Rainey Bibbs#,27,2B,0.4,26,111,104,13,28,2,1,0,15,4,5,.269,.303,.308,.610,76,.291,77,32,0,2,4,
3,4,Ormond Sampson,28,SS,0.2,17,65,60,4,15,1,1,0,10,1,3,.250,.286,.300,.586,68,.275,69,18,0,2,6/2,
4,5,Alex Radcliff,32,3B,0.8,35,148,139,24,35,7,5,1,17,4,8,.252,.297,.396,.693,98,.318,93,55,1,0,5/6714,AS
5,6,Wilson Redus,33,LF,0.6,37,157,137,19,41,4,2,3,15,6,15,.299,.373,.423,.796,128,.373,126,58,1,4,7/9,
6,7,Turkey Stearnes*,37,CF,0.5,19,77,69,14,18,2,1,2,10,5,7,.261,.338,.406,.743,113,.353,110,28,1,0,8,
7,8,Herman Dunlap*,30,RF,0.0,28,117,104,11,25,1,2,0,5,4,8,.240,.295,.288,.583,68,.281,70,30,0,5,9/78,
8,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards
9,9,Ed Young,25,UT,0.4,26,99,90,17,25,3,2,1,15,1,6,.278,.330,.389,.719,106,.333,103,35,1,2,3/529,
10,10,Willie Simms*,29,OF,-0.2,18,87,79,13,19,3,1,0,7,3,7,.241,.302,.304,.606,74,.292,78,24,0,1,8,
11,11,Billy Horne,22,MI,0.3,16,61,53,9,15,3,1,1,10,0,5,.283,.345,.434,.779,123,.359,118,23,0,3,4/6,
12,12,Joe Sparks,27,SS,0.2,20,58,48,10,10,1,1,2,7,1,8,.208,.333,.396,.729,109,.341,108,19,1,1,6/45,
13,13,Frank Duncan,37,C,0.7,14,57,45,9,15,2,1,2,11,2,9,.333,.455,.556,1.010,189,.460,179,25,1,2,2,AS
14,14,Ernie Smith*,30,UT,0.2,11,42,38,8,13,2,0,0,8,4,0,.342,.359,.395,.754,116,.363,116,15,1,3,/92,
15,15,Jesse Houston,28,IF,0.0,18,40,38,4,7,1,1,0,3,0,2,.184,.225,.263,.488,40,.229,43,10,0,0,1/45,
16,16,Paul Hardy,27,C,-0.2,8,17,15,1,1,0,0,0,1,0,2,.067,.176,.067,.243,-28,.144,-7,1,0,0,/2,
17,17,Pen Gilliard*,34,UT,0.0,6,10,8,0,2,0,0,0,0,1,1,.250,.333,.250,.583,69,.303,77,2,0,1,/713,
18,18,Johnny Reed,22,UT,-0.1,3,7,6,2,1,0,0,0,1,0,1,.167,.286,.167,.452,32,.242,50,1,0,0,/159,
19,19,Andrews,,2B,0.1,1,5,4,2,2,0,0,0,1,0,1,.500,.600,.500,1.100,218,.527,214,2,0,0,/4,
20,20,Jack Marshall,29,3B,0.1,1,5,4,1,1,0,0,0,1,0,1,.250,.400,.250,.650,89,.339,106,1,0,0,/5,
21,21,Howard Easterling#,26,OF,0.1,1,5,4,1,3,1,0,0,2,0,1,.750,.800,1.000,1.800,415,.790,366,4,0,0,/8,
22,22,Brinson,,OF,-0.1,1,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-89,0,0,0,/9,
23,23,Carter,,SS,0.2,1,4,3,3,2,0,0,0,1,0,1,.667,.750,.667,1.417,309,.659,289,2,0,0,/6,
24,24,Zell Miles,28,OF,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-93,0,0,0,/9,
25,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards
26,25,Willie Cornelius,31,P,0.3,20,38,30,3,5,1,1,0,3,0,5,.167,.306,.267,.572,65,.287,74,8,1,2,1,AS
27,26,Tommy Johnson,23,P,-0.2,19,36,32,0,2,0,0,0,1,0,2,.063,.118,.063,.180,-47,.100,-40,2,0,2,1,
28,27,Ted Trent,34,P,-0.3,14,18,17,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-101,0,0,1,1,
29,28,Leland Davis,,P,-0.1,11,13,12,0,1,0,0,0,1,0,1,.083,.154,.083,.237,-31,.130,-15,1,0,0,/1,
30,29,Percy Forrest,21,P,0.0,1,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-90,0,0,0,/1,
31,30,George White,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,/1,
32,,Team Totals,,,4.1,38,1442,1289,191,322,42,21,13,159,38,113,.250,.314,.345,.659,89,.312,90,445,8,32,,
33,,Non-Pitcher Totals,,,4.5,,1294,1157,184,307,40,19,13,151,38,103,.265,.329,.366,.696,100,.328,99,424,7,27,,
34,,Pitcher Totals,,,-0.3,,148,132,7,15,2,2,0,8,0,10,.114,.182,.159,.341,-2,.172,6,21,1,5,,
