Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Larry Brown#,27,C,1.9,74,296,250,37,72,13,5,3,45,2,46,0.288,0.399,0.416,0.815,113,0.378,117,104,0
Nat Rogers*,35,LF,0.1,53,203,185,27,52,6,1,2,35,2,17,0.281,0.345,0.357,0.702,83,0.327,85,66,1
Milt Laurent,27,2B,-1.0,74,274,265,32,61,8,0,2,29,11,9,0.23,0.255,0.283,0.538,40,0.254,35,75,0
Kid Lowe,28,3B,0.1,54,215,202,17,56,6,2,1,20,3,11,0.277,0.321,0.342,0.663,73,0.307,72,69,2
Julius Green,30,RF,-0.4,72,284,250,35,61,3,0,2,19,11,33,0.244,0.335,0.28,0.615,62,0.301,67,70,1
Pinky Ward,,CF,0.8,66,268,222,36,57,8,2,3,18,9,46,0.257,0.384,0.351,0.736,93,0.353,100,78,0
Dewitt Owens,28,SS,-1.1,62,243,232,24,51,3,0,0,16,1,11,0.22,0.255,0.233,0.488,28,0.232,25,54,0
J.C. McHaskell,26,1B,-1.3,55,224,213,21,50,4,0,0,16,1,11,0.235,0.272,0.254,0.526,38,0.249,36,54,0
Homer Curry*,24,P,0.5,25,79,75,9,21,2,2,3,16,2,4,0.28,0.316,0.48,0.796,105,0.352,100,36,0
Lou Dials*,25,2B,-0.2,34,121,108,11,23,6,1,2,15,2,13,0.213,0.298,0.343,0.64,66,0.297,66,37,0
Carl Glass*,31,P,0.2,38,96,91,10,24,2,1,0,11,0,5,0.264,0.302,0.308,0.61,59,0.286,58,28,0
Henry Harris,28,SS,-0.3,21,69,59,5,9,2,0,0,3,0,10,0.153,0.275,0.186,0.462,23,0.239,29,11,0
Willie Cornelius,22,P,0.2,9,29,25,4,7,0,0,0,3,1,4,0.28,0.379,0.28,0.659,75,0.326,84,7,0
Harry Kenyon,35,P,0.0,9,22,21,3,4,0,0,1,3,0,1,0.19,0.227,0.333,0.561,44,0.252,37,7,0
Alonzo Boone,21,P,0.1,7,13,12,1,3,2,0,0,2,0,1,0.25,0.308,0.417,0.724,87,0.327,84,5,0
Charles Wesley,32,2B,-0.3,9,29,29,4,5,0,1,0,2,1,0,0.172,0.172,0.241,0.414,7,0.187,-6,7,0
Nelson Dean,30,P,-0.5,14,35,35,2,3,0,0,0,1,0,0,0.086,0.086,0.086,0.171,-55,0.08,-72,3,0
Johnnie Oden,26,IF,-0.4,5,19,19,0,1,0,0,0,0,0,0,0.053,0.053,0.053,0.105,-72,0.049,-91,1,0
Fred Dewitt,28,1B,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-131,0,0
Willie Parker,,,0.1,1,1,1,1,1,1,0,0,0,0,0,1.0,1.0,2.0,3.0,663,1.287,700,2,0
Cliff Bell,32,P,-0.5,22,54,52,1,5,0,0,0,0,0,2,0.096,0.13,0.096,0.226,-40,0.114,-51,5,0
Anthony Cooper,24,,-0.2,3,12,12,1,1,0,0,0,0,0,0,0.083,0.083,0.083,0.167,-56,0.077,-73,1,0
Robert Poindexter,31,P,-0.1,8,12,11,1,1,0,0,0,0,0,1,0.091,0.167,0.091,0.258,-31,0.139,-34,1,0
Broadnax,,P,-0.2,8,11,11,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-123,0,0
Alto Lane,21,P,-0.1,3,7,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-123,0,0
Omer Newsome,29,P,0.1,4,6,6,2,3,0,0,0,0,0,0,0.5,0.5,0.5,1.0,161,0.464,170,3,0
George Nash,22,P,0.0,2,2,1,0,0,0,0,0,0,0,1,0.0,0.5,0.0,0.5,42,0.372,111,0,0
Elliott Mayweather,,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-119,0,0
