Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,IBB
Alex Radcliff,31,SS,1.4,43,175,165,17,50,4,9,3,35,11,6,0.303,0.335,0.491,0.826,126.0,0.371,118.0,81,2,2,1
Jack Marshall,28,RF,0.2,43,175,150,21,34,4,1,2,19,2,16,0.227,0.322,0.307,0.628,74.0,0.302,81.0,46,5,4,0
Herman Dunlap*,29,CF,0.1,37,141,130,24,34,7,1,3,15,3,7,0.262,0.304,0.4,0.704,93.0,0.32,91.0,52,1,3,0
Ted Bond,33,3B,0.7,41,173,150,40,38,4,4,0,13,7,18,0.253,0.337,0.333,0.671,86.0,0.322,91.0,50,1,4,0
Subby Byas#,27,C,0.0,37,112,97,5,24,2,0,0,12,2,9,0.247,0.318,0.268,0.586,63.0,0.285,71.0,26,1,5,0
Wilson Redus,32,LF,-0.5,45,174,157,19,33,6,1,0,11,10,9,0.21,0.271,0.261,0.532,47.0,0.262,53.0,41,4,4,0
Luther Gilyard,27,1B,-0.6,29,109,101,7,20,3,0,0,9,0,6,0.198,0.257,0.228,0.485,35.0,0.238,43.0,23,2,0,0
Joe Sparks,26,2B,-0.7,29,103,88,8,13,2,2,0,8,2,11,0.148,0.242,0.216,0.458,27.0,0.227,35.0,19,0,4,0
Paul Hardy,26,C,-0.1,18,58,52,9,12,2,1,0,6,1,2,0.231,0.286,0.308,0.593,64.0,0.279,67.0,16,2,2,0
Malvin Powell,29,UT,0.2,20,38,32,6,7,1,0,1,5,0,5,0.219,0.342,0.344,0.686,90.0,0.33,96.0,11,1,0,0
Ted Strong#,20,IF,0.3,4,19,15,5,6,1,1,1,4,0,1,0.4,0.526,0.8,1.326,262.0,0.57,234.0,12,3,0,0
Willie Cornelius,30,P,-0.2,20,43,39,4,3,0,0,1,4,0,2,0.077,0.143,0.154,0.297,-18.0,0.147,-12.0,6,1,1,0
Newt Allen,36,MI,0.3,3,15,11,4,3,0,0,1,3,0,4,0.273,0.467,0.545,1.012,179.0,0.459,171.0,6,0,0,0
Ted Trent,33,P,-0.2,15,27,27,1,3,1,0,0,3,1,0,0.111,0.111,0.148,0.259,-29.0,0.121,-26.0,4,0,0,0
Bill Foster#,33,P,0.3,17,35,25,5,5,1,0,0,3,0,6,0.2,0.355,0.24,0.595,67.0,0.308,82.0,6,0,4,0
R.S. Smith,,SS,0.1,2,6,6,2,2,0,0,1,3,0,0,0.333,0.333,0.833,1.167,213.0,0.489,188.0,5,0,0,0
Roosevelt Cox,23,3B,0.1,1,5,5,1,2,1,0,0,2,0,0,0.4,0.4,0.6,1.0,173.0,0.446,163.0,3,0,0,0
Willie Simms*,28,OF,0.0,2,8,7,0,2,1,0,0,2,0,0,0.286,0.286,0.429,0.714,95.0,0.319,88.0,3,0,1,0
Zell Miles,27,OF,0.1,9,24,21,3,5,0,1,0,2,0,2,0.238,0.333,0.333,0.667,85.0,0.319,90.0,7,1,0,0
Turkey Stearnes*,36,OF,0.3,4,18,14,2,4,1,0,1,2,0,1,0.286,0.412,0.571,0.983,169.0,0.44,163.0,8,2,1,0
Roosevelt Tate,26,OF,-0.4,9,38,36,3,4,1,1,0,1,3,2,0.111,0.158,0.194,0.352,-3.0,0.172,2.0,7,0,0,0
Zack Clayton*,24,1B,-0.1,17,36,30,4,5,0,0,0,1,0,2,0.167,0.265,0.167,0.431,21.0,0.228,34.0,5,2,2,0
Jim Brown#,45,C,0.0,1,2,2,1,1,0,0,0,1,0,0,0.5,0.5,0.5,1.0,177.0,0.469,176.0,1,0,0,0
Joe Lillard#,32,P,0.2,1,3,3,0,3,1,0,0,1,0,0,1.0,1.0,1.333,2.333,540.0,1.057,514.0,4,0,0,0
Cliff Blackmon,23,P,0.1,11,21,17,1,2,0,1,0,1,0,3,0.118,0.25,0.235,0.485,35.0,0.241,42.0,4,0,1,0
Hilton Smith,30,UT,-0.1,4,7,7,0,1,0,0,0,0,0,0,0.143,0.143,0.143,0.286,-21.0,0.134,-17.0,1,0,0,0
Frank Duncan,36,C,0.0,4,13,12,0,2,1,0,0,0,0,1,0.167,0.231,0.25,0.481,33.0,0.23,39.0,3,0,0,0
Henry Milton*,26,UT,-0.2,4,18,14,2,2,0,0,0,0,0,4,0.143,0.333,0.143,0.476,36.0,0.272,63.0,2,0,0,0
Henry McCall*,29,UT,-0.1,8,29,29,3,7,2,0,0,0,0,0,0.241,0.241,0.31,0.552,51.0,0.251,51.0,9,0,0,0
Walker,,OF,-0.1,3,5,5,1,1,0,0,0,0,0,0,0.2,0.2,0.2,0.4,11.0,0.188,15.0,1,0,0,0
Lonnie Williams,,OF,-0.1,3,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-93.0,0,0,0,0
Walter Thomas,25,P,-0.1,3,7,7,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-94.0,0,0,0,0
Andy Cooper,40,P,-0.1,1,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-95.0,0,0,0,0
Porter Moss,27,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-87.0,0,0,0,0
Floyd Kranson,23,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-87.0,0,0,0,0
Norman Cross*,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Howard,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
