Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Turkey Stearnes*,27,CF,4.3,80,349,315,80,101,16,7,24,78,5,29,0.321,0.387,0.644,1.031,177.0,0.45,170.0,203,5,Left
Ed Rile*,28,1B,3.0,80,339,299,60,104,22,1,8,63,9,33,0.348,0.425,0.508,0.933,154.0,0.426,155.0,152,7,Left
Wade Johnston*,30,LF,1.0,74,329,305,60,85,13,5,8,46,6,22,0.279,0.331,0.433,0.764,107.0,0.347,105.0,132,2,Left
Ted Radcliffe,25,C,0.8,65,264,254,29,66,9,3,8,41,2,7,0.26,0.288,0.413,0.701,89.0,0.315,85.0,105,3,Right
Hurley McNair*,39,RF,0.9,68,275,241,43,66,8,5,3,40,7,34,0.274,0.364,0.386,0.75,105.0,0.35,107.0,93,0,Left
Claude Johnson,34,3B,2.3,75,321,279,55,93,12,1,3,35,3,40,0.333,0.421,0.416,0.836,129.0,0.392,134.0,116,2,Right
Stack Martin,29,UT,0.4,51,172,167,24,51,10,2,1,29,2,5,0.305,0.326,0.407,0.733,99.0,0.333,97.0,68,0,Right
Grady Orange,28,MI,1.2,68,266,249,38,65,8,5,1,27,6,15,0.261,0.308,0.345,0.654,78.0,0.303,78.0,86,2,Right
Cristóbal Torriente*,34,OF,0.6,37,116,111,14,36,8,3,1,25,2,5,0.324,0.353,0.477,0.831,125.0,0.374,122.0,53,0,Left
Halley Harding#,23,SS,1.7,45,198,175,38,51,9,3,2,23,6,22,0.291,0.374,0.411,0.785,114.0,0.365,116.0,72,1,Both
Bingo DeMoss,38,2B,-0.6,40,130,120,14,19,4,1,0,10,0,8,0.158,0.223,0.208,0.431,18.0,0.211,19.0,25,2,Right
