Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Bats
Fred Bankhead,28,3B,0.2,17,61,50,5,10,1,1,0,12,2,3,0.2,0.273,0.26,0.533,60.0,0.269,61.0,13,0,2,6,0,Right
Marlin Carter*,28,2B,0.2,19,83,77,7,23,4,0,0,11,3,4,0.299,0.333,0.351,0.684,106.0,0.331,105.0,27,0,0,2,0,Left
Red Longley,31,LF,0.6,15,56,47,11,12,2,1,1,10,1,8,0.255,0.364,0.404,0.768,131.0,0.368,131.0,19,0,0,1,0,Right
