Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,IBB,Pos.1,Awards
1,Herb Barnhill,31,C,0.0,28,93,87,8,22,3,0,0,11,0,5,.253,.301,.287,.588,73,.285,78,25,1,0,0,2/3,
2,Art Pennington#,22,1B,1.3,33,142,121,22,40,6,2,2,22,6,21,.331,.430,.463,.892,161,.421,157,56,0,0,0,3/45796,
3,Jesse Douglas*,29,2B,0.7,30,134,124,23,38,2,1,1,14,4,10,.306,.358,.363,.721,111,.343,112,45,0,0,0,4/56,
4,Ralph Wyatt,27,SS,0.7,33,137,125,22,37,1,3,2,22,1,10,.296,.348,.400,.748,118,.350,117,50,0,2,0,6/58,
5,Clyde Nelson,23,3B,0.1,27,109,94,20,23,4,0,1,18,0,13,.245,.343,.319,.662,94,.324,100,30,1,1,0,5/793,
6,John Bissant,31,LF,0.3,32,133,119,29,32,7,2,0,13,0,13,.269,.341,.361,.702,106,.335,107,43,0,1,0,7/4,
7,Jimmie Crutchfield*,35,CF,-0.3,36,150,139,13,31,5,1,0,13,0,10,.223,.280,.273,.553,62,.268,68,38,1,0,0,8,
8,Johnny Smith*,28,RF,0.9,36,152,142,23,48,4,4,2,31,0,9,.338,.377,.465,.842,146,.391,140,66,0,1,0,9/71,
9,Wilbert King,30,2B,0.3,16,58,51,12,12,0,4,0,3,0,6,.235,.316,.392,.708,106,.330,104,20,0,1,0,4/59,
10,Tommie Dukes*,38,C,-0.1,16,56,55,7,14,1,2,0,8,0,1,.255,.268,.345,.613,79,.283,77,19,0,0,0,2/3,
11,Henry McCall*,37,1B,0.1,9,37,34,2,11,2,0,0,4,1,2,.324,.361,.382,.743,118,.351,117,13,0,1,0,/3,
12,Willie McMeans,,UT,0.0,11,21,15,1,2,0,0,0,2,0,5,.133,.350,.133,.483,45,.281,74,2,0,1,0,/137,
13,Clyde McNeal,16,UT,-0.2,7,19,17,1,2,0,0,0,0,0,2,.118,.211,.118,.328,-2,.178,15,2,0,0,0,/76,
14,Clarence Locke,34,1B,-0.3,9,18,18,0,1,0,0,0,0,0,0,.056,.056,.056,.111,-67,.053,-58,1,0,0,0,/13,
15,Babe Charter,34,3B,0.1,2,6,6,2,3,0,0,0,2,0,0,.500,.500,.500,1.000,193,.473,188,3,0,0,0,/5,
16,Sam Jackson*,,1B,0.0,2,3,3,0,1,0,0,0,0,0,0,.333,.333,.333,.667,95,.316,95,1,0,0,0,/3,
17,Shanks,,SS,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-85,0,0,0,0,/6,
18,James Coachman,,C,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,/2,
19,Jesse Williams*,,C,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,/2,
20,Gentry Jessup,30,P,-0.1,12,32,31,3,6,0,0,0,2,0,0,.194,.194,.194,.387,13,.183,16,6,0,1,0,1,AS
21,Willie Cornelius,38,P,0.6,16,31,25,5,11,2,1,0,6,0,5,.440,.533,.600,1.133,231,.522,220,15,0,1,0,1/7,
22,Walter McCoy,25,P,-0.2,13,26,24,3,1,0,0,0,1,0,2,.042,.115,.042,.157,-53,.094,-34,1,0,0,0,1,
23,Gready McKinnis,31,P,-0.1,9,15,15,2,2,0,0,0,0,0,0,.133,.133,.133,.267,-22,.126,-15,2,0,0,0,/1,
24,Ollie West*,31,P,0.1,8,12,11,0,3,0,0,0,1,0,1,.273,.333,.273,.606,79,.299,86,3,0,0,0,/17,
25,R. Smith,,P,0.0,1,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-285,0,0,1,0,/1,
