Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Willie Bobo*,26,1B,1.9,70,298,268,56,85,16,3,6,57,6,25,0.317,0.386,0.466,0.852,132.0,0.396,129.0,125,5,Left
Branch Russell*,28,RF,2.1,69,303,272,56,83,20,4,7,44,12,27,0.305,0.376,0.485,0.862,135.0,0.401,130.0,132,4,Left
Mitchell Murray,28,C,1.6,48,168,150,28,50,8,0,6,35,4,18,0.333,0.405,0.507,0.911,148.0,0.421,144.0,76,0,Right
