Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,IBB,Bats
Alex Radcliff,31,SS,1.4,43,175,165,17,50,4,9,3,35,11,6,0.303,0.335,0.491,0.826,126.0,0.371,118.0,81,2,2,1,Right
Jack Marshall,28,RF,0.2,43,175,150,21,34,4,1,2,19,2,16,0.227,0.322,0.307,0.628,74.0,0.302,81.0,46,5,4,0,Right
Herman Dunlap*,29,CF,0.1,37,141,130,24,34,7,1,3,15,3,7,0.262,0.304,0.4,0.704,93.0,0.32,91.0,52,1,3,0,Left
Ted Bond,33,3B,0.7,41,173,150,40,38,4,4,0,13,7,18,0.253,0.337,0.333,0.671,86.0,0.322,91.0,50,1,4,0,Right
Subby Byas#,27,C,0.0,37,112,97,5,24,2,0,0,12,2,9,0.247,0.318,0.268,0.586,63.0,0.285,71.0,26,1,5,0,Both
Wilson Redus,32,LF,-0.5,45,174,157,19,33,6,1,0,11,10,9,0.21,0.271,0.261,0.532,47.0,0.262,53.0,41,4,4,0,Right
