Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB
Willard Brown,24,LF,2.1,44,183,174,37,64,15,7,3,42,8,9,0.368,0.399,0.586,0.985,185,0.453,172,102
Turkey Stearnes*,38,CF,2.0,49,202,185,42,61,9,1,7,39,12,17,0.33,0.386,0.503,0.889,157,0.419,151,93
Ted Strong#,22,SS,1.9,46,181,159,33,50,8,2,3,29,14,22,0.314,0.398,0.447,0.844,145,0.407,142,71
Buck O'Neil,27,1B,-0.6,46,169,155,19,28,5,4,1,22,3,14,0.181,0.249,0.284,0.532,55,0.255,56,44
Rainey Bibbs#,28,3B,0.6,43,165,158,33,46,8,2,1,19,3,7,0.291,0.321,0.386,0.707,105,0.33,102,61
Newt Allen,38,2B,-0.2,47,178,167,19,37,5,0,0,19,1,11,0.222,0.27,0.251,0.521,52,0.253,56,42
Joe Greene,27,C,0.3,32,116,106,11,24,3,2,2,10,0,10,0.226,0.293,0.349,0.642,86,0.304,85,37
Henry Milton*,28,RF,0.2,47,204,185,29,46,6,2,1,9,10,19,0.249,0.319,0.319,0.638,86,0.314,88,59
Paul Hardy,28,UT,0.3,14,39,34,5,11,0,1,0,6,2,5,0.324,0.41,0.382,0.793,131,0.385,133,13
Bill Williams,26,IF,-0.1,24,71,68,7,15,3,0,0,4,3,3,0.221,0.254,0.265,0.518,51,0.253,52,18
Lionel Decuir,24,C,-0.6,18,47,45,1,4,1,0,0,3,0,2,0.089,0.128,0.111,0.239,-30,0.121,-25,5
Langrum,,2B,0.0,5,19,19,2,6,1,0,0,3,0,0,0.316,0.316,0.368,0.684,99,0.32,95,7
Hilton Smith,32,P,0.0,25,55,54,3,10,0,2,0,3,0,1,0.185,0.2,0.259,0.459,33,0.213,31,14
Frank Bradley,21,P,0.1,18,39,38,4,9,1,0,0,2,0,1,0.237,0.256,0.263,0.52,51,0.248,52,10
George Walker,24,P,-0.1,20,29,29,3,4,2,0,0,1,0,0,0.138,0.138,0.207,0.345,0,0.158,-2,6
Willie Hutchinson,24,P,0.0,5,9,8,1,1,0,0,0,1,1,1,0.125,0.222,0.125,0.347,2,0.201,17,1
Andy Cooper,42,P,0.1,3,8,8,1,3,0,0,0,1,0,0,0.375,0.375,0.375,0.75,118,0.356,117,3
Martin,,,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
Big Train Jackson*,22,P,0.0,7,12,10,1,1,0,0,0,0,0,2,0.1,0.25,0.1,0.35,4,0.204,25,1
Floyd Kranson,25,P,0.1,10,15,13,2,2,1,0,0,0,0,2,0.154,0.267,0.231,0.497,45,0.252,54,3
Lefty Moses,25,P,-0.1,8,9,9,0,1,0,0,0,0,1,0,0.111,0.111,0.111,0.222,-35,0.118,-33,1
Elbert Treadway,23,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-92,0
Willie Hudson*,21,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
Charlie Beverly*,39,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
