Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH
Bobby Robinson#,35,CF,-0.1,29,123,111,15,29,2,3,0,21,5,9,0.261,0.322,0.333,0.656,76,0.317,78,37,1,2
John Britton*,29,3B,-0.6,29,134,128,18,31,6,1,0,20,1,3,0.242,0.265,0.305,0.57,52,0.267,51,39,1,2
Ed Steele*,32,RF,1.2,29,123,98,27,35,6,2,3,18,7,20,0.357,0.488,0.551,1.039,178,0.485,173,54,5,0
Piper Davis,30,2B,1.7,28,117,107,25,42,8,2,1,17,6,7,0.393,0.444,0.533,0.977,161,0.455,157,57,3,0
Artie Wilson*,27,SS,2.0,29,136,120,31,52,7,6,0,17,6,15,0.433,0.5,0.592,1.092,191,0.501,185,71,1,0
Joe Scott*,30,1B,0.4,25,104,87,14,23,4,2,3,16,1,13,0.264,0.379,0.46,0.838,124,0.388,121,40,3,1
Jim Zapp,24,LF,0.5,18,63,57,13,16,5,0,2,11,0,5,0.281,0.349,0.474,0.823,119,0.376,113,27,1,0
Alonzo Perry*,26,1B,0.3,17,39,34,4,10,0,0,2,8,0,4,0.294,0.368,0.471,0.839,123,0.386,119,16,0,1
Herman Bell,33,C,0.1,20,66,57,13,16,2,0,0,6,1,5,0.281,0.349,0.316,0.665,79,0.325,85,18,1,3
Pepper Bassett#,37,C,0.1,15,57,50,5,14,4,0,1,6,1,5,0.28,0.357,0.42,0.777,107,0.362,107,21,1,1
Willie Mays,17,OF,-0.1,13,48,43,6,10,2,1,0,6,1,4,0.233,0.313,0.326,0.638,71,0.306,75,14,1,0
Jimmie Newberry,29,P,0.4,13,28,22,2,7,1,1,0,5,0,2,0.318,0.423,0.455,0.878,135,0.417,139,10,2,2
Bill Powell*,29,P,0.2,7,21,19,7,7,0,0,0,2,0,1,0.368,0.4,0.368,0.768,107,0.373,112,7,0,1
Bill Greason,23,P,0.2,9,19,14,4,4,1,0,0,1,0,4,0.286,0.444,0.357,0.802,116,0.404,131,5,0,1
Wiley Griggs,23,UT,-0.1,8,18,16,4,3,1,0,0,0,0,2,0.188,0.278,0.25,0.528,42,0.265,50,4,0,0
Samuel Williams*,25,P,-0.1,3,6,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-140,0,0,1
Jay Heard*,28,P,-0.1,7,3,3,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-102,0,0,0
Nat Pollard,33,P,0.0,2,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-107,0,0,0
