Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Bats
Turkey Stearnes*,39,CF,0.9,36,146,126,22,33,6,2,5,33,4,18,0.262,0.359,0.46,0.819,145.0,0.392,135.0,58,0,1,1,0,Left
Bill Williams,27,SS,2.2,38,147,131,23,48,6,3,1,28,5,10,0.366,0.42,0.481,0.9,169.0,0.432,161.0,63,0,2,4,0,Right
Buck O'Neil,28,1B,0.5,38,147,138,24,39,6,3,1,26,8,8,0.283,0.322,0.391,0.713,113.0,0.349,107.0,54,0,0,1,0,Right
Joe Greene,28,C,1.1,26,100,85,24,24,7,4,2,22,4,14,0.282,0.384,0.529,0.913,173.0,0.433,157.0,45,0,0,1,0,Right
Herb Souell#,27,3B,1.0,34,135,118,19,37,5,1,0,14,8,16,0.314,0.4,0.373,0.773,131.0,0.391,131.0,44,0,1,0,0,Both
Henry Milton*,29,RF,0.4,31,139,122,22,31,3,1,1,13,8,10,0.254,0.321,0.32,0.641,92.0,0.325,92.0,39,0,2,5,0,Left
Jesse Douglas*,24,2B,0.1,26,107,100,17,23,3,0,0,12,5,4,0.23,0.267,0.26,0.527,58.0,0.267,59.0,26,0,1,2,0,Left
