Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
1,John Hines,27,C,1.3,67,221,203,35,58,9,3,2,34,6,12,.286,.344,.389,.733,100,.340,101,79,6,297,
2,Lemuel Hawkins*,32,1B,-0.2,38,153,143,14,36,4,0,0,16,5,10,.252,.301,.280,.580,59,.278,61,40,0,34/6,
3,Charley Williams,31,2B,0.2,65,252,235,26,60,10,6,0,36,4,15,.255,.306,.349,.654,78,.302,77,82,2,*4/56,
4,Pythias Russ,24,SS,2.7,70,288,274,54,93,13,3,2,48,9,9,.339,.372,.431,.802,118,.369,119,118,5,6/23,
5,Dave Malarcher#,33,3B,0.2,33,116,106,11,28,3,0,0,16,4,9,.264,.328,.292,.620,70,.299,74,31,1,5,
6,Sandy Thompson*,33,LF,0.4,43,179,166,25,55,1,1,0,27,4,11,.331,.380,.349,.729,100,.344,104,58,2,7/89,
7,Jelly Gardner*,32,CF,1.2,50,213,184,37,51,3,0,0,10,19,27,.277,.376,.293,.669,85,.339,94,54,2,8,
8,Steel Arm Davis*,32,RF,1.0,59,242,226,38,72,12,5,2,31,7,13,.319,.364,.442,.806,119,.369,118,100,3,93/7,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
9,Sanford Jackson,28,UT,0.9,54,235,219,32,60,4,4,0,16,5,13,.274,.323,.329,.652,78,.306,80,72,3,58/674,
10,Jim Brown#,36,1B,-0.4,37,129,125,16,33,3,0,0,12,3,3,.264,.287,.288,.575,57,.269,56,36,1,3/2,
11,Ruben Jones*,34,OF,0.1,37,126,120,17,36,4,2,0,15,4,3,.300,.333,.367,.700,91,.326,91,44,3,9/7,
12,Nat Rogers*,34,OF,-0.7,25,86,83,5,18,2,0,0,10,2,3,.217,.244,.241,.485,33,.229,31,20,0,7/9,
13,Bobby Williams,32,IF,-0.7,24,83,72,9,12,2,0,0,3,1,8,.167,.277,.194,.472,31,.241,39,14,3,5/67,
14,Eddie Miller,27,UT,0.3,27,80,74,9,18,4,2,0,7,2,6,.243,.300,.351,.651,77,.302,76,26,0,1/53689,
15,Mitchell Murray,32,C,0.6,24,78,70,13,20,4,2,0,14,2,7,.286,.359,.400,.759,107,.352,108,28,1,2,
16,Tommie Dukes*,21,C,-0.1,5,12,10,0,0,0,0,0,0,0,2,.000,.167,.000,.167,-51,.123,-36,0,0,/2,
17,Red Haley*,27,IF,0.2,5,11,11,0,3,2,0,0,1,0,0,.273,.273,.455,.727,95,.322,89,5,0,/453,
18,James Bray,29,C,-0.1,2,9,9,0,3,0,0,0,0,1,0,.333,.333,.333,.667,82,.323,82,3,0,/2,
19,Charlie Hancock,25,C,-0.1,1,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-110,0,0,/2,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
20,Bill Foster#,24,P,0.2,29,80,77,9,17,3,0,0,8,0,3,.221,.250,.260,.510,39,.240,37,20,0,1,
21,George Harney,38,P,0.3,25,63,61,6,19,1,0,0,8,0,2,.311,.333,.328,.661,81,.311,82,20,0,1/9,
22,Willie Powell*,24,P,-0.1,18,51,47,2,7,1,0,0,4,0,4,.149,.216,.170,.386,7,.193,8,8,0,1,
23,Harold Treadwell,31,P,-0.1,10,22,22,2,4,0,0,0,2,0,0,.182,.182,.182,.364,0,.170,-7,4,0,1,
24,Owen Smaulding,31,P,0.1,5,16,16,1,4,1,0,0,1,0,0,.250,.250,.313,.563,53,.256,48,5,0,/1,
25,Frog Holsey,22,P,0.0,2,5,5,1,1,0,0,0,1,0,0,.200,.200,.200,.400,9,.186,3,1,0,/1,
26,Webster McDonald*,28,P,-0.1,1,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-110,0,0,/1,
,Team Totals,,,7.0,76,2756,2564,362,708,86,28,6,320,78,160,.276,.327,.339,.665,82,.313,83,868,32,,
,Non-Pitcher Totals,,,6.4,,2436,2259,332,638,76,26,6,289,76,145,.282,.335,.347,.682,86,.321,88,784,32,,
,Pitcher Totals,,,0.6,,320,305,30,70,10,2,0,31,2,15,.230,.266,.275,.541,48,.255,47,84,0,,
