Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos.1,Awards
1,Larry Brown#,42,C,0.1,14,37,29,1,6,2,0,0,2,0,5,.207,.324,.276,.599,85,.304,91,8,0,0,3,0,2,
2,Jim Canada*,32,1B,-0.4,24,88,78,4,13,0,0,0,3,0,7,.167,.235,.167,.402,24,.208,30,13,0,0,3,0,3,
3,Fred Bankhead,31,2B,0.5,26,102,91,19,28,3,1,0,10,5,5,.308,.351,.363,.713,119,.352,119,33,0,1,5,0,4/56,
4,T.J. Brown,28,SS,-0.3,17,72,69,4,13,3,0,0,3,0,2,.188,.211,.232,.443,36,.215,36,16,0,0,1,0,6/5,
5,Jimmy Ford,31,3B,0.1,25,100,90,8,25,3,0,1,13,2,7,.278,.337,.344,.681,110,.332,110,31,1,1,2,0,5/4,
6,Fred McDaniel*,31,LF,-0.2,23,92,84,11,22,4,1,0,7,1,5,.262,.319,.333,.652,101,.317,101,28,0,2,1,0,7,
7,Neil Robinson,36,CF,0.5,25,104,93,10,27,3,1,1,8,6,9,.290,.359,.376,.736,126,.366,126,35,0,1,1,0,8/6,AS
8,Cowan Hyde,37,RF,-0.5,26,100,96,11,17,5,2,0,4,4,4,.177,.210,.271,.481,47,.236,46,26,0,0,0,0,9/87,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards
9,Verdell Mathis*,30,UT,0.7,21,65,60,6,19,2,1,0,6,1,5,.317,.369,.383,.753,131,.356,126,23,0,0,0,1,1/379,AS
10,Red Longley,34,UT,0.0,20,63,50,4,8,1,0,0,5,2,10,.160,.311,.180,.491,52,.261,62,9,0,1,2,1,2/57368,
11,Casey Jones*,25,C,0.0,17,39,36,3,8,2,0,0,5,0,3,.222,.282,.278,.560,72,.276,75,10,0,0,0,0,2,
12,Buck Felder,28,UT,0.0,11,33,25,6,3,2,0,0,0,3,7,.120,.313,.200,.513,59,.292,76,5,0,0,1,0,6/7,
13,Pepper Sharpe#,25,UT,-0.1,6,17,16,2,6,0,1,0,1,0,0,.375,.375,.500,.875,168,.411,162,8,0,0,1,0,/9378,
14,Nat Rogers*,50,OF,-0.1,8,8,7,0,1,0,0,0,0,0,1,.143,.250,.143,.393,22,.137,-28,1,0,0,0,1,/9,
15,Willie Wells,21,IF,-0.2,8,7,7,1,1,0,0,0,1,0,0,.143,.143,.143,.286,-12,.137,-11,1,0,0,0,0,/645,
16,Felix Evans,33,OF,0.0,4,3,3,1,1,1,0,0,0,0,0,.333,.333,.667,1.000,205,.463,191,2,0,0,0,0,/719,
17,Spike Garrett,,2B,0.0,1,2,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,208,.481,205,1,0,0,0,0,/4,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards
18,Porter Moss,34,P,0.1,9,19,18,0,4,0,0,0,1,1,0,.222,.222,.222,.444,37,.221,32,4,0,0,1,0,/1,
19,Willie Hutchinson,29,P,-0.2,11,14,13,1,1,0,0,0,0,0,0,.077,.077,.077,.154,-53,.074,-63,1,0,0,1,0,/19,
20,Robert Keyes*,,P,0.1,3,9,9,0,2,1,0,0,0,0,0,.222,.222,.333,.556,70,.261,65,3,0,0,0,0,/1,
21,Edgar Chatman,27,P,-0.1,3,7,7,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-96,0,0,0,0,0,/1,
22,Al Jones,,P,0.0,1,4,3,0,0,0,0,0,0,0,1,.000,.250,.000,.250,-21,.185,18,0,0,0,0,0,/1,
23,Rufus Ligon,41,P,0.0,5,4,4,0,1,0,0,0,2,0,0,.250,.250,.250,.500,54,.240,53,1,0,0,0,0,/1,
24,Steve Wylie,33,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-100,0,0,0,0,0,/1,
25,Les Henderson,,P,0.0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,
,Team Totals,,,-0.1,27,990,891,92,207,32,7,2,71,25,71,.232,.293,.291,.584,80,.289,80,259,1,6,22,3,,
,Non-Pitcher Totals,,,-0.6,,867,776,85,180,29,6,2,62,23,65,.232,.296,.293,.589,81,.292,82,227,1,6,20,2,,
,Pitcher Totals,,,0.6,,123,115,7,27,3,1,0,9,2,6,.235,.273,.278,.551,69,.265,66,32,0,0,2,1,,
