Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos.1,Awards
1,Paul Hardy,29,C,0.1,24,85,72,6,14,3,1,0,8,1,9,.194,.293,.264,.557,67,.282,72,19,0,1,3,0,2,
2,Lyman Bostock*,22,1B,-0.3,26,103,97,13,25,4,0,0,10,1,6,.258,.301,.299,.600,80,.295,80,29,0,0,0,0,3/65,
3,Tommy Sampson,27,2B,1.1,26,109,101,19,34,4,3,0,13,3,5,.337,.380,.436,.815,144,.391,136,44,0,2,1,0,4/3,AS
4,Ulysses Redd,25,SS,-0.2,26,87,84,7,18,0,2,0,4,1,1,.214,.233,.262,.494,48,.238,46,22,0,1,1,0,6/5,
5,Sammy Burton,27,3B,0.2,29,104,92,13,23,1,2,1,9,1,10,.250,.324,.337,.660,98,.324,97,31,0,0,2,0,5/4793,
6,Jabbo Andrews*,32,LF,-0.1,28,110,96,11,21,2,0,3,16,2,12,.219,.312,.333,.645,93,.319,94,32,0,1,1,0,7/9,
7,Dan Thomas,,CF,-0.4,25,85,80,10,16,1,0,0,5,0,5,.200,.247,.213,.460,38,.233,43,17,0,0,0,0,8/9,
8,Willie Nixon,23,RF,0.8,27,103,86,17,24,6,2,2,15,0,12,.279,.374,.465,.839,151,.401,142,40,0,1,4,0,9/7,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards
9,Fred McBride,35,CI,-0.1,16,46,44,7,11,1,0,1,5,0,2,.250,.283,.341,.624,87,.301,83,15,0,0,0,0,3/15,
10,Buddy Allen,25,UT,0.2,9,35,33,7,12,1,0,0,5,0,1,.364,.400,.394,.794,138,.390,134,13,0,1,0,0,/85,
11,Emmett Wilson#,27,OF,0.1,4,16,14,3,4,1,0,0,0,3,0,.286,.375,.357,.732,119,.390,122,5,0,2,0,0,/8,
12,James Mickey,,IF,0.1,5,15,15,1,1,0,0,0,0,0,0,.067,.067,.067,.133,-60,.065,-55,1,0,0,0,0,/65,
13,Parnell Woods,28,UT,0.0,3,14,14,2,5,0,1,0,2,1,0,.357,.357,.500,.857,156,.410,141,7,0,0,0,0,/59,AS
14,Cap Tyson,37,UT,0.1,4,12,12,1,5,1,0,0,2,0,0,.417,.417,.500,.917,174,.439,162,6,0,0,0,0,/25,
15,Johnnie Cowan,27,IF,-0.2,3,11,11,0,1,0,0,0,1,0,0,.091,.091,.091,.182,-46,.088,-41,1,0,0,0,0,/45,
16,Buster Haywood,30,C,0.0,5,10,10,0,2,0,0,0,0,1,0,.200,.200,.200,.400,20,.206,20,2,0,0,0,0,/2,
17,Jake Tolbert,,C,-0.1,1,5,5,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-94,0,0,0,0,0,/2,
18,Eddie Vines*,22,CI,0.0,2,4,4,0,2,0,0,0,0,0,0,.500,.500,.500,1.000,199,.487,190,2,0,0,0,0,/35,
19,Leo Sanders,26,SS,-0.1,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-88,0,0,0,0,0,/6,
20,Leroy Bass,22,C,0.0,2,2,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,199,.487,188,1,0,0,0,0,/2,
21,Jones,,3B,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-92,0,0,0,0,0,/5,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards
22,Dan Bankhead,20,P,0.3,11,23,21,2,9,0,0,0,3,0,1,.429,.455,.429,.883,164,.433,162,9,0,0,1,0,/138,
23,Blanch Moody,28,P,0.0,12,22,19,0,3,0,0,0,1,0,1,.158,.200,.158,.358,7,.184,6,3,0,0,2,0,1,
24,Eddie Snead,29,P,0.3,12,21,19,3,6,0,1,1,3,0,1,.316,.350,.579,.929,178,.430,160,11,0,0,1,0,1/8,
25,Red Howard*,30,P,0.1,15,21,19,2,4,0,0,0,1,0,2,.211,.286,.211,.496,49,.258,58,4,0,0,0,0,1,
26,Gentry Jessup,25,P,-0.2,8,13,13,2,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-92,0,0,0,0,0,/1,
27,Samuel Burris,20,P,0.0,5,2,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,199,.487,188,1,0,0,0,0,/1,
28,Sam Barber,20,P,0.1,1,2,2,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,499,.973,469,2,0,0,0,0,/1,
29,Pete Gregory,29,P,0.0,1,1,0,0,0,0,0,0,0,0,1,,1.000,,,,.766,346,0,0,0,0,0,/1,
,Team Totals,,,1.7,30,1064,970,126,244,25,12,8,103,14,69,.252,.307,.327,.634,90,.311,89,317,0,9,16,0,,
,Non-Pitcher Totals,,,1.0,,959,875,117,219,25,11,7,95,14,63,.250,.307,.328,.635,90,.312,89,287,0,9,12,0,,
,Pitcher Totals,,,0.8,,105,95,9,25,0,1,1,8,0,6,.263,.307,.316,.623,86,.306,85,30,0,0,4,0,,
