Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
1,George Dixon*,28,C,0.2,20,73,62,9,17,4,1,0,8,0,10,.274,.384,.371,.755,107,.368,111,23,1,*2,
2,Willie Curtis,32,1B,-0.3,18,72,68,9,18,0,1,0,2,2,4,.265,.306,.294,.600,64,.289,66,20,0,3,
3,Namon Washington,30,2B,-0.8,20,68,65,6,11,0,0,0,4,2,3,.169,.206,.169,.375,3,.189,6,11,0,4/756,
4,Ray Sheppard,21,SS,-0.3,12,44,36,5,6,1,0,0,3,0,6,.167,.318,.194,.513,42,.279,59,7,2,6/4,
5,Wilson Joseph,26,3B,-0.4,10,30,30,0,5,0,0,0,3,0,0,.167,.167,.167,.333,-9,.159,-12,5,0,/56,
6,Pinky Ward,,LF,0.2,20,78,72,10,21,2,1,0,8,2,6,.292,.346,.347,.693,90,.332,91,25,0,/7598,
7,Wilson Redus,19,CF,-0.1,13,49,48,1,16,1,0,0,5,0,1,.333,.347,.354,.701,92,.335,92,17,0,8,
8,Bobo Leonard,,RF,-0.3,19,65,62,5,13,5,0,0,4,0,2,.210,.246,.290,.536,46,.255,45,18,1,/987,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
9,L. Davis,,UT,0.4,17,58,53,9,16,2,2,1,7,0,5,.302,.362,.472,.834,127,.385,121,25,0,/9675,
10,Goldie Davis,,OF,-0.1,9,28,26,2,8,0,1,0,3,0,2,.308,.357,.385,.742,103,.352,102,10,0,/719,
11,Alex Evans,28,UT,-0.1,12,25,25,2,6,0,0,1,1,0,0,.240,.240,.360,.600,63,.273,56,9,0,/139,
12,Adam Williams,,MI,0.0,8,24,21,1,5,0,1,0,2,1,2,.238,.333,.333,.667,83,.327,86,7,1,/46,
13,Henry Blackmon,32,3B,0.1,1,4,4,1,2,1,0,0,0,0,0,.500,.500,.750,1.250,239,.569,229,3,0,/5,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
14,Dizzy Dismukes,34,P,0.0,5,14,14,1,3,0,1,0,1,0,0,.214,.214,.357,.571,55,.254,44,5,0,/1,
15,Hulon Stamps,25,P,0.0,8,13,13,0,3,2,0,0,2,0,0,.231,.231,.385,.615,67,.277,58,5,0,/1,
16,Russell Trabue,24,P,-0.2,4,12,12,0,1,0,0,0,0,0,0,.083,.083,.083,.167,-54,.080,-58,1,0,/1,
17,Henry Strickland,,P,0.0,1,3,3,0,1,0,0,0,0,0,0,.333,.333,.333,.667,83,.318,83,1,0,/1,
18,Murdock,,P,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-104,0,0,/1,
19,Nolan Swancy,27,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-100,0,0,/1,
20,Buster Emmett,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,/1,
21,Hop Bartlett,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,/1,
,Team Totals,,,-1.6,20,663,617,61,152,18,8,2,53,7,41,.246,.299,.311,.610,67,.294,68,192,5,,
,Non-Pitcher Totals,,,-1.4,,593,547,58,138,16,7,1,49,7,41,.252,.310,.313,.623,71,.301,72,171,5,,
,Pitcher Totals,,,-0.2,,70,70,3,14,2,1,1,4,0,0,.200,.200,.300,.500,36,.227,29,21,0,,
